Id,IsDeleted,AccountId,Name,Description,StageName,Amount,Probability,CloseDate,Type,NextStep,LeadSource,IsClosed,IsWon,ForecastCategory,ForecastCategoryName,CampaignId,HasOpportunityLineItem,IsSplit,Pricebook2Id,OwnerId,Territory2Id,IsExcludedFromTerritory2Filter,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,FiscalQuarter,FiscalYear,Fiscal,MayEdit,IsLocked,LastViewedDate,LastReferencedDate,SyncedQuoteId,HasOpenActivity,HasOverdueTask,DB_Days__c,external_id__c,Stalled_Opportunity__c
0068c00000qT6J2AAK,,0018c00002GzxQ2AAJ,United Partners (Washington DC) - 24K,This deal is looking good so far.,Closed Won,2000,100,2020-09-27,Add-On Business,Where do the decision makers stand?,Google Adwords,1,1,Closed,Closed,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,3,2014,2014 3,1,,,,,,,-300,,
0068c00000qT6J3AAK,,0018c00002GzxPlAAJ,Optos Inc. - 23K,Will give end of year incentive to sign,Needs Analysis,3000,20,2021-08-02,Add-On Business,calling up the chain,Google Adwords,,,Pipeline,Pipeline,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,2,2015,2015 2,1,,,,,,,9,,
0068c00000qT6J4AAK,,0018c00002GzxPPAAZ,Data Mart - 9K,"Great sales cycle, with our new product this was a great fit",Proposal/Price Quote,2000,75,2022-05-07,New Business,great win for us,,,,Pipeline,Pipeline,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,1,2016,2016 1,1,,,,,,,287,,
0068c00000qT6J5AAK,,0018c00002GzxPRAAZ,Employnet - 27K,Had some relationship issues with their decision maker,Closed Lost,10000,0,2021-07-14,New Business,,Referral,1,,Omitted,Omitted,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,2,2015,2015 2,1,,,,,,,-10,,
0068c00000qT6J6AAK,,0018c00002GzxPPAAZ,Data Mart - 19K,Will give end of year incentive to sign,Qualification,25000,10,2022-01-23,Services,great win for us,,,,Pipeline,Pipeline,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,4,2015,2015 4,1,,,,,,,183,,
0068c00000qT6J7AAK,,0018c00002GzxPQAAZ,DFC Inc. - 2K,We really got hurt when they saw one of their key value points isn't yet one of our features.,Closed Lost,21600,0,2021-06-04,Services,Follow up in 5 months to see how things are going,Web Direct,1,,Omitted,Omitted,,1,,01s8c000008uzjiAAA,0058c00000BxzHkAAJ,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,2,2015,2015 2,1,,,,,,,-50,,
0068c00000qT6J8AAK,,0018c00002GzxPDAAZ,Advanced Productions Corp* - 2K,Will give end of year incentive to sign,Needs Analysis,7000,20,2021-10-19,Add-On Business,calling up the chain,Trade Show,,,Pipeline,Pipeline,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,3,2015,2015 3,1,,,,,,,87,,
0068c00000qT6J9AAK,,0018c00002GzxPPAAZ,Data Mart - 33K,Will give end of year incentive to sign,Qualification,11000,10,2022-04-22,New Business,great win for us,,,,Pipeline,Pipeline,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,1,2016,2016 1,1,,,,,,,272,,
0068c00000qT6JAAA0,,0018c00002GzxPHAAZ,Associated Supply Co. - 28K,Had some relationship issues with their decision maker,Closed Won,31300,100,2021-04-15,New Business,couldn't reach their decision maker,Referral,1,1,Closed,Closed,,1,,01s8c000008uzjiAAA,0058c00000BxzHjAAJ,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,1,2015,2015 1,1,,,,,,,-100,,
0068c00000qT6JBAA0,,0018c00002GzxPPAAZ,Data Mart - 25K,Will give end of year incentive to sign,Closed Won,90000,100,2020-06-07,Services,great win for us,Google Adwords,1,1,Closed,Closed,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,2,2014,2014 2,1,,,,,,,-412,,
0068c00000qT6JCAA0,,0018c00002GzxPPAAZ,Data Mart - 53K,"Great sales cycle, with our new product this was a great fit",Closed Won,499,100,2021-01-06,Add-On Business,great win for us,Web Direct,1,1,Closed,Closed,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,4,2014,2014 4,1,,,,,,,-199,,
0068c00000qT6JDAA0,,0018c00002GzxPPAAZ,Data Mart - 9K,"Great sales cycle, with our new product this was a great fit",Prospecting,6000,10,2022-05-23,New Business,great win for us,,,,Pipeline,Pipeline,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,2,2016,2016 2,1,,,,,,,303,,
0068c00000qT6JEAA0,,0018c00002GzxPRAAZ,Employnet - 8K,This deal is looking good so far.,Needs Analysis,499,35,2021-11-06,New Business,Where do the decision makers stand?,Web Direct,,,Pipeline,Pipeline,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,3,2015,2015 3,1,,,,,,,105,,
0068c00000qT6JFAA0,,0018c00002GzxPPAAZ,Data Mart - 31K,Great customer and this deal is looking good,Closed Won,3000,100,2019-12-08,New Business,great win for us,Trade Show,1,1,Closed,Closed,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,4,2013,2013 4,1,,,,,,,-594,,
0068c00000qT6JGAA0,,0018c00002GzxPPAAZ,Data Mart - 21K,"Great sales cycle, with our new product this was a great fit",Needs Analysis,40500,20,2022-03-22,Services,great win for us,,,,Pipeline,Pipeline,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,1,2016,2016 1,1,,,,,,,241,,
0068c00000qT6JHAA0,,0018c00002GzxPlAAJ,Optos Inc. - 40K,Had some relationship issues with their decision maker,Closed Lost,8379,0,2021-05-25,New Business,couldn't reach their decision maker,Trade Show,1,,Omitted,Omitted,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,2,2015,2015 2,1,,,,,,,-60,,
0068c00000qT6JIAA0,,0018c00002GzxPRAAZ,Employnet - 3K,The company is going through a bunch of org changes. We'll try again in a few months.,Closed Lost,12350,0,2021-07-04,Services,Follow up in a few months when their new execs have settled in.,Referral,1,,Omitted,Omitted,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,2,2015,2015 2,1,,,,,,,-20,,
0068c00000qT6JJAA0,,0018c00002GzxPPAAZ,Data Mart - 2K,This deal is not a great fit but next month we should be able to meet their  needs,Proposal/Price Quote,24000,75,2022-03-10,Services,great win for us,,,,Pipeline,Pipeline,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,1,2016,2016 1,1,,,,,,,229,,
0068c00000qT6JKAA0,,0018c00002GzxPHAAZ,Associated Supply Co. - 9K,Will give end of year incentive to sign,Negotiation/Review,8000,90,2021-11-06,Add-On Business,"Quote sent out, waiting for response",Trade Show,,,Pipeline,Pipeline,,1,,01s8c000008uzjiAAA,0058c00000BxzHjAAJ,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,3,2015,2015 3,1,,,,,,,105,,
0068c00000qT6JLAA0,,0018c00002GzxPzAAJ,Tyconet,,Prospecting,24000,10,2021-07-29,,Qualifying the prospect's needs,,,,Pipeline,Pipeline,,1,,01s8c000008uzjiAAA,0058c00000BxzHhAAJ,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,2,2015,2015 2,1,,,,,,,5,,
0068c00000qT6JMAA0,,0018c00002GzxPXAAZ,Haven Enterprises - 7K,Our champion didn't come through for us.,Closed Lost,10000,0,2021-05-05,New Business,Follow up in 2 months,Trade Show,1,,Omitted,Omitted,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,1,2015,2015 1,1,,,,,,,-80,,
0068c00000qT6JNAA0,,0018c00002GzxPPAAZ,Data Mart - 53K,"Great sales cycle, with our new product this was a great fit",Qualification,2000,10,2022-02-08,Add-On Business,great win for us,,,,Pipeline,Pipeline,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,1,2016,2016 1,1,,,,,,,199,,
0068c00000qT6JOAA0,,0018c00002GzxPPAAZ,Data Mart - 27K,Potential big win for their decision maker,Proposal/Price Quote,18000,75,2021-07-25,Services,great win for us,,,,Pipeline,Pipeline,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,2,2015,2015 2,1,,,,,,,1,,
0068c00000qT6JPAA0,,0018c00002GzxPPAAZ,Data Mart - 660,Great customer and this deal is looking good,Closed Won,40000,100,2019-10-10,Services,great win for us,Referral,1,1,Closed,Closed,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,3,2013,2013 3,1,,,,,,,-653,,
0068c00000qT6JQAA0,,0018c00002GzxQ8AAJ,Social Gamer Enterprise - 18K,Had some relationship issues with their decision maker,Closed Lost,12000,0,2021-01-25,New Business,Had some relationship issues with their decision maker,Purchased List,1,,Omitted,Omitted,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,4,2014,2014 4,1,,,,,,,-180,,
0068c00000qT6JRAA0,,0018c00002GzxPPAAZ,Data Mart - 37K,Great customer and this deal is looking good,Closed Won,7000,100,2020-03-23,Services,great win for us,Referral,1,1,Closed,Closed,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,1,2014,2014 1,1,,,,,,,-488,,
0068c00000qT6JSAA0,,0018c00002GzxPCAAZ,AB Partners - 55K,,Prospecting,9000,10,2021-11-06,Add-On Business,Invite to Event,Cold Call,,,Pipeline,Pipeline,,1,,01s8c000008uzjiAAA,0058c00000BxzHjAAJ,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,3,2015,2015 3,1,,,,,,,105,,
0068c00000qT6JTAA0,,0018c00002GzxQ1AAJ,United Partners (Bay Area) - 4K,This deal is not a great fit but next month we should be able to meet their  needs,Needs Analysis,8000,20,2022-02-09,New Business,Discovery call scheduled for next week,Referral,,,Pipeline,Pipeline,,1,,01s8c000008uzjiAAA,0058c00000BxzHhAAJ,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,1,2016,2016 1,1,,,,,,,200,,
0068c00000qT6JUAA0,,0018c00002GzxPPAAZ,Data Mart - 10K,Potential big win for their decision maker,Negotiation/Review,6000,90,2022-01-08,Services,great win for us,,,,Pipeline,Pipeline,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,4,2015,2015 4,1,,,,,,,168,,
0068c00000qT6JVAA0,,0018c00002GzxPHAAZ,Associated Supply Co. - 4K,This could be a huge win for us.,Prospecting,4000,10,2021-08-16,New Business,Discovery call scheduled for next week,Referral,,,Pipeline,Pipeline,,1,,01s8c000008uzjiAAA,0058c00000BxzHjAAJ,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,3,2015,2015 3,1,,,,,,,23,,
0068c00000qT6JWAA0,,0018c00002GzxPPAAZ,Data Mart - 2K,This deal is not a great fit but next month we should be able to meet their  needs,Proposal/Price Quote,1000,75,2022-04-22,Services,great win for us,,,,Pipeline,Pipeline,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,1,2016,2016 1,1,,,,,,,272,,
0068c00000qT6JXAA0,,0018c00002GzxPQAAZ,DFC Inc. - 2K,Customer wanted everything in a handbasket for $0,Closed Lost,2000,0,2020-10-27,Add-On Business,,Google Adwords,1,,Omitted,Omitted,,1,,01s8c000008uzjiAAA,0058c00000BxzHkAAJ,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,3,2014,2014 3,1,,,,,,,-270,,
0068c00000qT6JYAA0,,0018c00002GzxPPAAZ,Data Mart - 10K,Potential big win for their decision maker,Closed Won,1000,100,2020-02-06,Services,great win for us,Referral,1,1,Closed,Closed,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,4,2013,2013 4,1,,,,,,,-534,,
0068c00000qT6JZAA0,,0018c00002GzxQ9AAJ,XPower,,Prospecting,8000,10,2021-12-16,,calling up the chain,,,,Pipeline,Pipeline,,1,,01s8c000008uzjiAAA,0058c00000BxzHkAAJ,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,4,2015,2015 4,1,,,,,,,145,,
0068c00000qT6JaAAK,,0018c00002GzxPPAAZ,Data Mart - 3K,This deal is not a great fit but next month we should be able to meet their  needs,Closed Won,9000,100,2020-05-10,Services,great win for us,Web Direct,1,1,Closed,Closed,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,2,2014,2014 2,1,,,,,,,-440,,
0068c00000qT6JbAAK,,0018c00002GzxPPAAZ,Data Mart - 1K,Potential big win for their decision maker,Closed Won,2000,100,2020-08-08,New Business,great win for us,Cold Call,1,1,Closed,Closed,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,3,2014,2014 3,1,,,,,,,-350,,
0068c00000qT6JcAAK,,0018c00002GzxPPAAZ,Data Mart - 15K,Great customer and this deal is looking good,Prospecting,3000,10,2021-11-15,New Business,great win for us,,,,Pipeline,Pipeline,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,4,2015,2015 4,1,,,,,,,114,,
0068c00000qT6JdAAK,,0018c00002GzxPPAAZ,Data Mart - 37K,Great customer and this deal is looking good,Negotiation/Review,5000,90,2021-11-23,Services,great win for us,,,,Pipeline,Pipeline,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,4,2015,2015 4,1,,,,,,,122,,
0068c00000qT6JeAAK,,0018c00002GzxPFAAZ,Allied Technologies - 40K,Potential big win for their decision maker,Closed Lost,3000,0,2020-10-27,New Business,decision maker quit the company,Cold Call,1,,Omitted,Omitted,,1,,01s8c000008uzjiAAA,0058c00000BxzHhAAJ,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,3,2014,2014 3,1,,,,,,,-270,,
0068c00000qT6JfAAK,,0018c00002GzxPPAAZ,Data Mart - 27K,Will give end of year incentive to sign,Prospecting,8000,10,2022-04-01,Add-On Business,great win for us,,,,Pipeline,Pipeline,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,1,2016,2016 1,1,,,,,,,251,,
0068c00000qT6JgAAK,,0018c00002GzxQ8AAJ,Social Gamer Enterprise - 210K,Will give end of year incentive to sign,Prospecting,3000,10,2021-07-31,Services,First call scheduled for this week,Cold Call,,,Pipeline,Pipeline,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,2,2015,2015 2,1,,,,,,,7,,
0068c00000qT6JhAAK,,0018c00002GzxPEAAZ,Aims Social - 10K,Great customer and this deal is looking good,Prospecting,10000,10,2021-08-02,New Business,First call scheduled for this week,Web Direct,,,Pipeline,Pipeline,,1,,01s8c000008uzjiAAA,0058c00000BTQK6AAP,,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,2,2015,2015 2,1,,,,,,,9,,
