External_Id__c,Account.External_Id__c,Opportunity.External_Id__c,Owner.External_Id__c,ACTIVITYDATE,EVENTSUBTYPE,SUBJECT,TYPE
W_Event.131,W_Account.2494,W_Opportunity.36628,W_Sales_User.1,2022-02-20,Event,Lead Source Details,Meeting
W_Event.132,W_Account.2453,W_Opportunity.36215,W_Sales_User.10,2022-02-14,Event,Left Voicemail,Meeting
W_Event.133,W_Account.626,W_Opportunity.15501,W_Sales_User.1,2022-03-19,Event,Lunch,Meeting
W_Event.134,W_Account.3118,W_Opportunity.42298,W_Sales_User.10,2022-03-16,Event,Lunch and Learn,Call
W_Event.135,W_Account.5171,W_Opportunity.69610,W_Sales_User.17,2022-03-16,Event,Lunch Briefing,Prep
W_Event.136,W_Account.5300,W_Opportunity.70650,W_Sales_User.17,2022-02-04,Event,Manager 1:1 Meeting,Other
W_Event.137,W_Account.3377,W_Opportunity.44624,W_Sales_User.1,2022-02-15,Event,Negotiate Contracts,Call
W_Event.138,W_Account.5137,W_Opportunity.69344,W_Sales_User.17,2022-03-03,Event,Notes from Customer Discussion,Call
W_Event.139,W_Account.3409,W_Opportunity.44928,W_Sales_User.10,2022-02-06,Event,Notes From Discussion with VP of Finance,Call
W_Event.140,W_Account.1773,W_Opportunity.30413,W_Sales_User.10,2022-03-12,Event,Onsite Industry Research,Prep
W_Event.141,W_Account.1171,W_Opportunity.24869,W_Sales_User.1,2022-02-21,Event,Onsite Meeting with Executive Team,Meeting
W_Event.142,W_Account.6983,W_Opportunity.1841,W_Sales_User.10,2022-02-07,Event,Onsite Presentation and Discussion,Meeting
W_Event.143,W_Account.1062,W_Opportunity.23980,W_Sales_User.10,2022-02-05,Event,Onsite Presentation to Board of Directors,Meeting
W_Event.144,W_Account.5826,W_Opportunity.75325,W_Sales_User.10,2022-02-13,Event,Onsite Presentation to Executive Team,Call
W_Event.145,W_Account.6239,W_Opportunity.77850,W_Sales_User.10,2022-02-22,Event,Onsite Presentation to Finance Team,Call
W_Event.146,W_Account.7961,W_Opportunity.4136,W_Sales_User.10,2022-02-08,Event,Onsite Presentation to Marketing Team,Meeting
W_Event.147,W_Account.3284,W_Opportunity.43722,W_Sales_User.1,2022-03-15,Event,Onsite Presentation to Sales Team,Meeting
W_Event.148,W_Account.4538,W_Opportunity.63999,W_Sales_User.10,2022-03-08,Event,Plan Account Strategy,Meeting
W_Event.149,W_Account.5345,W_Opportunity.71035,W_Sales_User.16,2022-02-07,Event,Plan Customer Event,Meeting
W_Event.150,W_Account.7486,W_Opportunity.53459,W_Sales_User.10,2022-03-08,Event,Plan Customer Visit,Meeting
W_Event.151,W_Account.7547,W_Opportunity.60008,W_Sales_User.10,2022-02-06,Event,Plan Executive Briefing,Meeting
W_Event.152,W_Account.455,W_Opportunity.11200,W_Sales_User.10,2022-02-08,Event,Post-Meeting Follow-Up,Call
W_Event.153,W_Account.7591,W_Opportunity.12361,W_Sales_User.10,2022-03-17,Event,Prep Sales Presentation,Prep
W_Event.154,W_Account.5420,W_Opportunity.71778,W_Sales_User.17,2022-02-24,Event,Presentation to Operations Team,Other
W_Event.155,W_Account.4375,W_Opportunity.62423,W_Sales_User.16,2022-02-18,Event,Product Demonstration with Team,Call
W_Event.156,W_Account.5377,W_Opportunity.71325,W_Sales_User.16,2022-02-04,Event,Project Review,Call
W_Event.157,W_Account.5890,W_Opportunity.76141,W_Sales_User.16,2022-02-28,Event,Project Team Kickoff,Call
W_Event.158,W_Account.2834,W_Opportunity.39569,W_Sales_User.10,2022-03-12,Event,Project Update Call,Call
W_Event.159,W_Account.6055,W_Opportunity.77636,W_Sales_User.10,2022-02-01,Event,Qualification Call,Prep
W_Event.160,W_Account.7087,W_Opportunity.48778,W_Sales_User.10,2022-03-21,Event,Qualification Notes,Meeting
W_Event.161,W_Account.2875,W_Opportunity.39937,W_Sales_User.10,2022-03-14,Event,Qualify Lead,Meeting
W_Event.162,W_Account.828,W_Opportunity.20121,W_Sales_User.1,2022-02-21,Event,Quick Call with Director of Finance,Meeting
W_Event.163,W_Account.4076,W_Opportunity.58316,W_Sales_User.10,2022-02-12,Event,Quick Call with VP of Operations,Meeting
W_Event.164,W_Account.5426,W_Opportunity.71828,W_Sales_User.17,2022-03-18,Event,Research Competitors,Meeting
W_Event.165,W_Account.7962,W_Opportunity.4821,W_Sales_User.10,2022-03-09,Event,Reserve Room for Customer Meeting,Meeting
W_Event.166,W_Account.183,W_Opportunity.4585,W_Sales_User.1,2022-03-19,Event,Reserve Venue for Customer Conference,Call
W_Event.167,W_Account.1276,W_Opportunity.25900,W_Sales_User.1,2022-02-25,Event,Respond to RFP,Prep
W_Event.168,W_Account.4400,W_Opportunity.62665,W_Sales_User.16,2022-02-16,Event,Review Ad Text Options for A/B Testing,Other
W_Event.169,W_Account.1298,W_Opportunity.26173,W_Sales_User.1,2022-03-05,Event,Review Campaign Success and Plan Next Phase,Call
W_Event.170,W_Account.3118,W_Opportunity.42298,W_Sales_User.10,2022-02-24,Event,Review Meeting Notes,Call
W_Event.171,W_Account.423,W_Opportunity.10478,W_Sales_User.1,2022-02-08,Event,Review Product Roadmap,Call
W_Event.172,W_Account.8217,W_Opportunity.7859,W_Sales_User.10,2022-03-03,Event,Review Proposal,Call
W_Event.173,W_Account.2492,W_Opportunity.36600,W_Sales_User.10,2022-03-21,Event,Review RFP Response,Prep
W_Event.174,W_Account.2075,W_Opportunity.33141,W_Sales_User.10,2022-02-03,Event,Review Social Listening and Identify Keywords,Meeting
W_Event.175,W_Account.814,W_Opportunity.19745,W_Sales_User.10,2022-03-08,Event,RFP Response Kickoff,Meeting
W_Event.176,W_Account.4682,W_Opportunity.65239,W_Sales_User.16,2022-03-04,Event,RFP Team Meeting,Meeting
W_Event.177,W_Account.7394,W_Opportunity.11245,W_Sales_User.10,2022-02-07,Event,Run Facebook Promotion to Boost Engagement,Call
W_Event.178,W_Account.3117,W_Opportunity.42289,W_Sales_User.10,2022-03-19,Event,Sales Presentation Follow-Up,Call
W_Event.179,W_Account.6840,W_Opportunity.7436,W_Sales_User.1,2022-01-31,Event,Send Answers to Customer Questions,Meeting
W_Event.180,W_Account.8083,W_Opportunity.14779,W_Sales_User.1,2022-02-07,Event,Send Contract,Meeting
W_Event.181,W_Account.865,W_Opportunity.21047,W_Sales_User.10,2022-02-05,Event,Send Contract for Signing,Meeting
W_Event.182,W_Account.1488,W_Opportunity.27806,W_Sales_User.1,2022-03-03,Event,Send Follow-up Email,Meeting
W_Event.183,W_Account.7904,W_Opportunity.16416,W_Sales_User.10,2022-02-19,Event,Send Revised Pricing,Meeting
W_Event.184,W_Account.4543,W_Opportunity.64061,W_Sales_User.10,2022-02-02,Event,Send Revised Quote,Meeting
W_Event.185,W_Account.622,W_Opportunity.15386,W_Sales_User.10,2022-03-06,Event,Send Thank You Email,Call
W_Event.186,W_Account.5007,W_Opportunity.68255,W_Sales_User.16,2022-03-12,Event,Send Thank You to Customer,Prep
W_Event.187,W_Account.4888,W_Opportunity.67202,W_Sales_User.16,2022-02-18,Event,Send Updated Quote,Other
W_Event.188,W_Account.2255,W_Opportunity.34639,W_Sales_User.10,2022-02-23,Event,Social Media Strategy Meeting,Call
W_Event.189,W_Account.6216,W_Opportunity.70176,W_Sales_User.17,2022-02-26,Event,Submit Feature Request,Call
W_Event.190,W_Account.6732,W_Opportunity.41815,W_Sales_User.1,2022-03-04,Event,SWOT Analysis,Call
W_Event.191,W_Account.1895,W_Opportunity.31517,W_Sales_User.10,2022-02-26,Event,Team Kickoff,Call
W_Event.192,W_Account.6642,W_Opportunity.28431,W_Sales_User.10,2022-02-01,Event,Team Meeting,Prep
W_Event.193,W_Account.776,W_Opportunity.18910,W_Sales_User.1,2022-02-16,Event,Tradeshow Preparation,Meeting
W_Event.194,W_Account.5358,W_Opportunity.71143,W_Sales_User.10,2022-03-07,Event,Travel Time,Meeting
W_Event.195,W_Account.147,W_Opportunity.3821,W_Sales_User.10,2022-02-08,Event,Volunteering - Animal Rescue Shelter,Meeting
W_Event.196,W_Account.1659,W_Opportunity.29332,W_Sales_User.10,2022-02-09,Event,Volunteering - Board of Trustees,Call
W_Event.197,W_Account.2880,W_Opportunity.39966,W_Sales_User.1,2022-02-13,Event,Volunteering - Business Skills Workshop,Call
W_Event.198,W_Account.1182,W_Opportunity.25041,W_Sales_User.1,2022-02-08,Event,Volunteering - Canned Food Collection,Meeting
W_Event.199,W_Account.2522,W_Opportunity.36831,W_Sales_User.1,2022-03-18,Event,Volunteering - Community Mentorship,Meeting
W_Event.200,W_Account.1075,W_Opportunity.24089,W_Sales_User.1,2022-03-10,Event,Volunteering - Food Bank,Meeting
W_Event.201,W_Account.4888,W_Opportunity.67202,W_Sales_User.16,2022-03-02,Event,Volunteering - Habitat for Humanity,Meeting
W_Event.202,W_Account.6478,W_Opportunity.39266,W_Sales_User.10,2022-02-21,Event,Volunteering - Mock Interviews,Call
W_Event.203,W_Account.5218,W_Opportunity.69996,W_Sales_User.10,2022-03-17,Event,Volunteering - Tree Planting,Prep
W_Event.204,W_Account.1293,W_Opportunity.26124,W_Sales_User.10,2022-03-10,Event,Web Conference with Customer,Other
W_Event.205,W_Account.3857,W_Opportunity.53445,W_Sales_User.10,2022-02-18,Event,Web Meeting,Call
W_Event.206,W_Account.7246,W_Opportunity.17683,W_Sales_User.1,2022-02-18,Event,Web Meeting with Customer,Call
W_Event.207,W_Account.4578,W_Opportunity.64329,W_Sales_User.17,2022-02-19,Event,Webinar,Call
W_Event.208,W_Account.6162,W_Opportunity.42361,W_Sales_User.1,2022-02-17,Event,Webinar Content,Prep
W_Event.209,W_Account.3133,W_Opportunity.42413,W_Sales_User.1,2022-02-22,Event,Webinar Planning Session,Meeting
W_Event.210,W_Account.4404,W_Opportunity.62699,W_Sales_User.10,2022-03-15,Event,Webinar Presentation,Meeting
W_Event.211,W_Account.305,W_Opportunity.7800,W_Sales_User.1,2022-02-17,Event,Work on RFP,Meeting
W_Event.212,W_Account.140,W_Opportunity.3636,W_Sales_User.1,2022-03-19,Event,Product Launch Meeting,Meeting
W_Event.213,W_Account.629,W_Opportunity.15573,W_Sales_User.10,2022-03-01,Event,Product Launch Training,Meeting
W_Event.214,W_Account.6964,W_Opportunity.383,W_Sales_User.1,2022-02-09,Event,New Product Training,Meeting
W_Event.215,W_Account.7187,W_Opportunity.3435,W_Sales_User.1,2022-02-18,Event,Sales Training,Call
W_Event.216,W_Account.4472,W_Opportunity.63345,W_Sales_User.17,2022-02-10,Event,Enablement Session,Prep
W_Event.217,W_Account.7472,W_Opportunity.50156,W_Sales_User.10,2022-03-07,Event,Account Health Check,Call
W_Event.218,W_Account.5355,W_Opportunity.71108,W_Sales_User.10,2022-02-23,Event,Account Planning Meeting,Call
W_Event.219,W_Account.7849,W_Opportunity.55956,W_Sales_User.16,2022-02-15,Event,Account Review,Call
W_Event.220,W_Account.2086,W_Opportunity.33207,W_Sales_User.1,2022-02-07,Event,Agree on Next Steps,Prep
W_Event.221,W_Account.4940,W_Opportunity.67655,W_Sales_User.17,2022-03-17,Event,Approve Ad Designs,Meeting
W_Event.222,W_Account.2041,W_Opportunity.32817,W_Sales_User.1,2022-02-17,Event,Approve Menus for Executive Lunch,Meeting
W_Event.223,W_Account.1494,W_Opportunity.27871,W_Sales_User.1,2022-03-13,Event,Arrange Travel for Guest Speaker,Meeting
W_Event.224,W_Account.1094,W_Opportunity.24234,W_Sales_User.1,2022-03-17,Event,Assess RFO Response,Call
W_Event.225,W_Account.94,W_Opportunity.2494,W_Sales_User.10,2022-02-01,Event,Attend Social Media Best Practices Webinar,Call
W_Event.226,W_Account.5141,W_Opportunity.69373,W_Sales_User.10,2022-02-14,Event,Brainstorming,Meeting
W_Event.227,W_Account.5233,W_Opportunity.70114,W_Sales_User.16,2022-02-23,Event,Brainstorming Session,Meeting
W_Event.228,W_Account.5578,W_Opportunity.73220,W_Sales_User.10,2022-03-02,Event,Build Slides for Presentation,Meeting
W_Event.229,W_Account.5890,W_Opportunity.76150,W_Sales_User.16,2022-02-19,Event,Call Customer for Update,Meeting
