Id,WhoId,WhatId,WhoCount,WhatCount,Subject,ActivityDate,Status,Priority,IsHighPriority,OwnerId,Description,Type,IsDeleted,AccountId,IsClosed,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,IsArchived,CallDurationInSeconds,CallType,CallDisposition,CallObject,ReminderDateTime,IsReminderSet,RecurrenceActivityId,IsRecurrence,RecurrenceStartDateOnly,RecurrenceEndDateOnly,RecurrenceTimeZoneSidKey,RecurrenceType,RecurrenceInterval,RecurrenceDayOfWeekMask,RecurrenceDayOfMonth,RecurrenceInstance,RecurrenceMonthOfYear,RecurrenceRegeneratedType,TaskSubtype,DB_Days__c,external_id__c
00T8c00003S69VyEAJ,,0018c00002GzxPRAAZ,0,1,Negotiate Terms,2021-08-23,Not Started,Normal,,0058c00000BxzHhAAJ,,,,0018c00002GzxPRAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,30,
00T8c00003S69VzEAJ,,0018c00002GzxPRAAZ,0,1,Call,2021-08-21,Not Started,Normal,,0058c00000BxzHhAAJ,,,,0018c00002GzxPRAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,28,
00T8c00003S69W0EAJ,,0018c00002GzxPQAAZ,0,1,Call to schedule sales presentation,2021-08-02,Not Started,Normal,,0058c00000BxzHhAAJ,,,,0018c00002GzxPQAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,9,
00T8c00003S69W1EAJ,,0018c00002GzxPVAAZ,0,1,Schedule Negotiation Call,2021-07-27,Not Started,Normal,,0058c00000BxzHhAAJ,,,,0018c00002GzxPVAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,3,
00T8c00003S69W2EAJ,,0018c00002GzxPWAAZ,0,1,Schedule Discovery Call,2021-07-25,Not Started,Normal,,0058c00000BxzHhAAJ,,,,0018c00002GzxPWAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,1,
00T8c00003S69W8EAJ,,0018c00002GzxPEAAZ,0,1,Needs list from Prospect,2021-07-27,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxPEAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,3,
00T8c00003S69W9EAJ,,0018c00002GzxPsAAJ,0,1,Sales call with VP Marketing,2021-07-29,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxPsAAJ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,5,
00T8c00003S69WAEAZ,,0018c00002GzxPsAAJ,0,1,Work on RFP,2021-08-06,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxPsAAJ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,13,
00T8c00003S69WCEAZ,,0018c00002GzxPDAAZ,0,1,Call to schedule sales presentation,2021-08-04,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxPDAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,11,
00T8c00003S69WDEAZ,,0018c00002GzxPDAAZ,0,1,Needs list from Prospect,2021-08-11,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxPDAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,18,
00T8c00003S69WGEAZ,,0018c00002GzxPDAAZ,0,1,Qualification notes,2021-08-06,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxPDAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,13,
00T8c00003S69WHEAZ,,0018c00002GzxPDAAZ,0,1,Call - Initial Discussion,2021-08-05,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxPDAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,12,
00T8c00003S69WLEAZ,,0018c00002GzxPGAAZ,0,1,Discovery call request,2021-08-06,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxPGAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,13,
00T8c00003S69WMEAZ,,0018c00002GzxPGAAZ,0,1,Intro call,2021-08-08,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxPGAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,15,
00T8c00003S69WOEAZ,,0018c00002GzxPHAAZ,0,1,Call - Initial Discussion,2021-07-27,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxPHAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,3,
00T8c00003S69WPEAZ,,0018c00002GzxPkAAJ,0,1,Product demo with team,2021-07-31,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxPkAAJ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,7,
00T8c00003S69WQEAZ,,0018c00002GzxPkAAJ,0,1,2nd Call,2021-08-17,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxPkAAJ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,24,
00T8c00003S69WREAZ,,0018c00002GzxQ6AAJ,0,1,Call to schedule sales presentation,2021-08-06,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxQ6AAJ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,13,
00T8c00003S69WSEAZ,,0018c00002GzxPFAAZ,0,1,Call connect,2021-08-05,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxPFAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,12,
00T8c00003S69WTEAZ,,0018c00002GzxPFAAZ,0,1,2nd Call,2021-08-08,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxPFAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,15,
00T8c00003S69WUEAZ,,0018c00002GzxPFAAZ,0,1,Discovery call at 11AM,2021-07-30,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxPFAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,6,
00T8c00003S69WVEAZ,,0018c00002GzxPFAAZ,0,1,Sales Presentation Today,2021-08-12,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxPFAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,19,
00T8c00003S69WYEAZ,,0018c00002GzxPKAAZ,0,1,Manager deal update,2021-07-27,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxPKAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,3,
00T8c00003S69WbEAJ,,0018c00002GzxQ6AAJ,0,1,Follow up on status,2021-08-04,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxQ6AAJ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,11,
00T8c00003S69WcEAJ,,0018c00002GzxPeAAJ,0,1,Prep Sales Presentation,2021-08-04,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxPeAAJ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,11,
00T8c00003S69WdEAJ,,0018c00002GzxPeAAJ,0,1,Left Voicemail: Update,2021-08-09,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxPeAAJ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,16,
00T8c00003S69WgEAJ,,0018c00002GzxPYAAZ,0,1,Qualification notes,2021-08-27,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxPYAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,34,
00T8c00003S69WhEAJ,,0018c00002GzxQ9AAJ,0,1,New notes,2021-08-01,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxQ9AAJ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,8,
00T8c00003S69WiEAJ,,0018c00002GzxPjAAJ,0,1,New notes,2021-07-27,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxPjAAJ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,3,
00T8c00003S69WjEAJ,,0018c00002GzxPjAAJ,0,1,Sales Presentation Follow Up,2021-08-13,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxPjAAJ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,20,
00T8c00003S69WpEAJ,,0018c00002GzxPlAAJ,0,1,Send Thank You,2021-07-29,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxPlAAJ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,5,
00T8c00003S69WqEAJ,,0018c00002GzxPgAAJ,0,1,Call,2021-08-06,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxPgAAJ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,13,
00T8c00003S69WrEAJ,,0018c00002GzxPgAAJ,0,1,Needs list from Prospect,2021-08-11,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxPgAAJ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,18,
00T8c00003S69WsEAJ,,0018c00002GzxQ0AAJ,0,1,Demo,2021-08-03,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxQ0AAJ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,10,
00T8c00003S69WtEAJ,,0018c00002GzxPRAAZ,0,1,New notes,2021-08-17,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxPRAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,24,
00T8c00003S69WuEAJ,,0018c00002GzxPQAAZ,0,1,Follow up on status,2021-07-31,Not Started,Normal,,0058c00000BxzHkAAJ,,,,0018c00002GzxPQAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,7,
00T8c00003S69WvEAJ,,0018c00002GzxPQAAZ,0,1,Send new pricing,2021-08-01,Not Started,Normal,,0058c00000BTQK6AAP,,,,0018c00002GzxPQAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,8,
00T8c00003S69WyEAJ,,0018c00002GzxPYAAZ,0,1,Needs list from Prospect,2021-07-28,Not Started,Normal,,0058c00000BTQK6AAP,,,,0018c00002GzxPYAAZ,,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,0058c00000BTQK6AAP,2022-03-29T17:59:16.000+0000,,0,,,,,,,,,,,,,,,,,,Task,4,
