Account,Payment Method,Maintenance,Churn,Points Used,Monthly Charges,Points,Tenure,Contract,Insurance,Month of Churn,Profit
50,Credit Card,Yes,No,1912,900000,3000,6,Two years,Yes,None,589000
51,Bank Transfer,No,No,2927,1500000,6000,6,Month-to-month,No,None,1399000
52,Mailed Check,No,No,4792,1200000,6000,6,Month-to-month,No,None,1123000
53,Electronic Check,Yes,No,2931,900000,4000,6,One year,No,None,818000
54,Mailed Check,No,Yes,644,1700000,1000,2,Month-to-month,No,January,1608000
55,Credit Card,Yes,No,2591,1800000,3000,5,One year,No,None,815000
56,Electronic Check,No,No,2428,1400000,4000,5,Month-to-month,No,None,1271000
57,Credit Card,No,No,5360,1700000,8000,5,Month-to-month,No,None,589000
58,Electronic Check,Yes,No,6299,1600000,8000,5,Two years,Yes,None,678000
59,Electronic Check,No,Yes,5798,1200000,9000,2,Month-to-month,No,February,1138000
60,Bank Transfer,Yes,No,4601,800000,5000,5,One year,No,None,736000
61,Bank Transfer,Yes,No,600,1000000,1000,5,Two years,Yes,None,920000
62,Bank Transfer,No,Yes,5744,1500000,9000,1,Month-to-month,No,January,302000
63,Mailed Check,Yes,No,3320,800000,9000,4,Two years,Yes,None,750000
64,Credit Card,No,No,4177,1300000,10000,4,Month-to-month,No,None,1207000
65,Bank Transfer,No,No,2862,1100000,10000,4,Month-to-month,No,None,992000
66,Electronic Check,No,Yes,3121,1900000,7000,2,Month-to-month,No,March,837000
67,Electronic Check,No,No,623,1000000,1000,3,Month-to-month,No,None,943000
68,Mailed Check,Yes,No,2521,1800000,6000,3,One year,No,None,1699000
69,Electronic Check,No,No,6892,1800000,9000,3,Month-to-month,No,None,1637000
70,Credit Card,No,No,4673,1600000,13000,3,Month-to-month,No,None,947000
71,Electronic Check,No,No,2157,1700000,7000,3,Month-to-month,No,None,1582000
72,Electronic Check,No,Yes,717,1900000,1000,1,Month-to-month,No,March,1766000
73,Mailed Check,No,No,2959,1600000,8000,3,Month-to-month,No,None,1509000
74,Bank Transfer,No,No,700,1500000,3000,3,Month-to-month,No,None,1364000
75,Electronic Check,No,No,386,1300000,1000,3,Month-to-month,No,None,1227000
76,Mailed Check,Yes,No,9590,1600000,11000,3,One year,No,None,1258000
77,Mailed Check,No,No,11892,1800000,13000,3,Month-to-month,No,None,928000
78,Bank Transfer,Yes,No,1156,1600000,5000,2,Two years,Yes,None,1479000
79,Mailed Check,No,No,4836,1300000,6000,2,Month-to-month,No,None,1228000
80,Electronic Check,Yes,No,780,900000,1000,2,Two years,Yes,None,487000
81,Credit Card,Yes,No,2577,700000,5000,2,Two years,Yes,None,314000
82,Mailed Check,Yes,No,2541,1200000,12000,1,One year,No,None,759000
83,Credit Card,Yes,No,2905,1800000,6000,1,Two years,Yes,None,1663000
84,Bank Transfer,Yes,No,10308,1200000,14000,1,Two years,Yes,None,240000
85,Mailed Check,No,No,5077,1400000,10000,1,Month-to-month,No,None,1290000
86,Credit Card,Yes,No,3649,900000,12000,1,One year,No,None,228000
87,Mailed Check,Yes,No,4001,1900000,10000,1,One year,No,None,966000
88,Credit Card,Yes,No,7424,1300000,12000,0,Two years,Yes,None,650000
89,Electronic Check,No,Yes,0,900000,9000,5,Month-to-month,No,May,0
90,Electronic Check,No,Yes,0,1800000,1000,47,Month-to-month,No,May,0
91,Electronic Check,No,Yes,0,1700000,1000,4,Month-to-month,No,May,0
92,Credit Card,Yes,Yes,0,1700000,12000,65,One year,No,May,0
93,Mailed Check,No,Yes,0,900000,11000,6,Month-to-month,No,May,0
94,Electronic Check,No,Yes,0,1500000,3000,11,Month-to-month,No,May,0
95,Credit Card,No,Yes,0,1800000,6000,20,Month-to-month,No,May,0
96,Electronic Check,No,Yes,0,1000000,13000,2,Month-to-month,No,May,0
97,Electronic Check,No,Yes,0,900000,7000,2,Month-to-month,No,May,0
98,Electronic Check,No,Yes,0,1900000,5000,36,Month-to-month,No,May,0
99,Electronic Check,No,Yes,0,700000,5000,21,Month-to-month,No,May,0
100,Electronic Check,No,Yes,0,1200000,14000,13,Month-to-month,No,May,0
101,Bank Transfer,Yes,Yes,0,1000000,12000,53,One year,No,May,0
102,Electronic Check,No,Yes,0,1200000,12000,10,Month-to-month,No,May,0
103,Electronic Check,No,Yes,0,1400000,7000,17,Month-to-month,No,May,0
104,Electronic Check,No,Yes,0,700000,7000,55,Month-to-month,No,May,0
105,Mailed Check,No,Yes,0,1000000,8000,1,Month-to-month,No,May,0
106,Electronic Check,No,Yes,0,800000,9000,5,Month-to-month,No,May,0
107,Electronic Check,No,Yes,0,800000,9000,2,Month-to-month,No,May,0
108,Bank Transfer,No,Yes,0,1100000,14000,16,Month-to-month,No,May,0
109,Mailed Check,No,Yes,0,1400000,13000,1,Month-to-month,No,May,0
110,Credit Card,Yes,Yes,0,800000,8000,66,Two years,Yes,May,0
111,Electronic Check,Yes,Yes,0,1200000,1000,59,One year,No,May,0
112,Bank Transfer,No,Yes,0,1600000,3000,47,Month-to-month,No,May,0
113,Mailed Check,No,Yes,0,1900000,7000,1,Month-to-month,No,May,0
114,Electronic Check,No,Yes,0,900000,9000,5,Month-to-month,No,May,0
115,Electronic Check,No,Yes,0,1900000,9000,36,Month-to-month,No,May,0
116,Mailed Check,Yes,Yes,0,1900000,10000,33,One year,No,May,0
117,Mailed Check,No,Yes,0,1200000,6000,1,Month-to-month,No,May,0
118,Credit Card,Yes,Yes,0,1200000,10000,42,One year,No,May,0
119,Credit Card,No,Yes,0,1900000,4000,29,Month-to-month,No,May,0
120,Electronic Check,No,Yes,0,900000,5000,61,Month-to-month,No,May,0
121,Credit Card,No,Yes,0,1400000,3000,32,Month-to-month,No,May,0
122,Electronic Check,No,Yes,0,1200000,3000,1,Month-to-month,No,May,0
123,Bank Transfer,No,Yes,0,1600000,4000,8,Month-to-month,No,May,0
124,Electronic Check,No,Yes,0,1100000,4000,39,Month-to-month,No,May,0
125,Electronic Check,No,Yes,0,1900000,6000,29,Month-to-month,No,May,0
126,Mailed Check,No,Yes,0,1300000,4000,30,Month-to-month,No,May,0
127,Mailed Check,No,Yes,0,1900000,12000,1,Month-to-month,No,May,0
128,Mailed Check,Yes,Yes,0,1200000,4000,42,One year,No,May,0
129,Electronic Check,No,Yes,0,1300000,11000,60,Month-to-month,No,May,0
130,Electronic Check,No,Yes,0,900000,5000,1,Month-to-month,No,May,0
131,Bank Transfer,No,Yes,0,1500000,5000,6,Month-to-month,No,May,0
132,Electronic Check,No,Yes,0,1400000,14000,1,Month-to-month,No,May,0
133,Electronic Check,No,Yes,0,1200000,11000,37,Month-to-month,No,May,0
134,Electronic Check,No,Yes,0,1600000,1000,10,Month-to-month,No,May,0
135,Electronic Check,No,Yes,0,1900000,14000,17,Month-to-month,No,May,0
136,Electronic Check,No,Yes,0,800000,13000,4,Month-to-month,No,May,0
137,Electronic Check,No,Yes,0,800000,8000,14,Month-to-month,No,May,0
138,Bank Transfer,Yes,Yes,0,1500000,5000,71,Two years,Yes,May,0
139,Credit Card,Yes,Yes,0,1200000,3000,48,One year,No,May,0
140,Electronic Check,No,Yes,0,1600000,9000,10,Month-to-month,No,May,0
141,Electronic Check,No,Yes,0,900000,3000,1,Month-to-month,No,May,0
142,Electronic Check,No,Yes,0,1300000,14000,49,Month-to-month,No,May,0
143,Electronic Check,No,Yes,0,1900000,3000,2,Month-to-month,No,May,0
144,Mailed Check,No,Yes,0,1400000,7000,1,Month-to-month,No,May,0
145,Electronic Check,No,Yes,0,1300000,14000,2,Month-to-month,No,May,0
146,Electronic Check,No,Yes,0,1200000,13000,1,Month-to-month,No,May,0
147,Electronic Check,No,Yes,0,1200000,10000,21,Month-to-month,No,May,0
148,Bank Transfer,No,Yes,0,900000,12000,11,Month-to-month,No,May,0
149,Electronic Check,No,Yes,0,1700000,12000,41,Month-to-month,No,May,0
150,Credit Card,No,Yes,0,1300000,5000,7,Month-to-month,No,May,0
151,Electronic Check,No,Yes,0,1500000,7000,1,Month-to-month,No,May,0
152,Mailed Check,No,Yes,0,1200000,6000,22,Month-to-month,No,May,0
153,Mailed Check,No,Yes,0,1800000,12000,1,Month-to-month,No,May,0
154,Electronic Check,No,Yes,0,1300000,10000,1,Month-to-month,No,May,0
155,Electronic Check,No,Yes,0,800000,5000,30,Month-to-month,No,May,0
156,Electronic Check,No,Yes,0,1100000,6000,1,Month-to-month,No,May,0
157,Bank Transfer,No,Yes,0,700000,1000,1,Month-to-month,No,May,0
158,Mailed Check,Yes,Yes,0,1300000,11000,2,One year,No,May,0
159,Electronic Check,No,Yes,0,1900000,7000,1,Month-to-month,No,May,0
160,Electronic Check,No,Yes,0,900000,4000,38,Month-to-month,No,May,0
161,Electronic Check,No,Yes,0,800000,14000,9,Month-to-month,No,May,0
162,Electronic Check,No,Yes,0,1100000,5000,1,Month-to-month,No,May,0
163,Electronic Check,No,Yes,0,1200000,11000,32,Month-to-month,No,May,0
164,Electronic Check,No,Yes,0,1700000,4000,3,Month-to-month,No,May,0
165,Electronic Check,No,Yes,0,1500000,8000,1,Month-to-month,No,May,0
166,Electronic Check,No,Yes,0,1400000,12000,19,Month-to-month,No,May,0
167,Credit Card,No,Yes,0,1600000,14000,6,Month-to-month,No,May,0
168,Electronic Check,No,Yes,0,1400000,5000,56,Month-to-month,No,May,0
169,Credit Card,No,Yes,0,1400000,9000,43,Month-to-month,No,May,0
170,Bank Transfer,No,Yes,0,1800000,4000,9,Month-to-month,No,May,0
171,Bank Transfer,Yes,Yes,0,1000000,7000,63,One year,No,May,0
172,Electronic Check,No,Yes,0,1700000,9000,13,Month-to-month,No,May,0
173,Electronic Check,No,Yes,0,1400000,12000,1,Month-to-month,No,May,0
174,Bank Transfer,No,Yes,0,1600000,3000,11,Month-to-month,No,May,0
175,Electronic Check,No,Yes,0,1200000,3000,13,Month-to-month,No,May,0
176,Electronic Check,No,Yes,0,1900000,11000,5,Month-to-month,No,May,0
177,Electronic Check,No,Yes,0,1300000,9000,10,Month-to-month,No,May,0
178,Electronic Check,No,Yes,0,1500000,3000,17,Month-to-month,No,May,0
179,Electronic Check,No,Yes,0,700000,3000,32,Month-to-month,No,May,0
180,Bank Transfer,No,Yes,0,1800000,9000,46,Month-to-month,No,May,0
181,Electronic Check,No,Yes,0,1600000,7000,1,Month-to-month,No,May,0
182,Electronic Check,No,Yes,0,1700000,10000,1,Month-to-month,No,May,0
183,Electronic Check,No,Yes,0,1100000,2000,6,Month-to-month,No,May,0
184,Credit Card,No,Yes,0,800000,1000,32,Month-to-month,No,May,0
185,Electronic Check,No,Yes,0,1300000,8000,59,Month-to-month,No,May,0
186,Bank Transfer,No,Yes,0,900000,5000,11,Month-to-month,No,May,0
187,Mailed Check,No,Yes,0,1700000,14000,3,Month-to-month,No,May,0
188,Bank Transfer,No,Yes,0,1100000,13000,21,Month-to-month,No,May,0
189,Mailed Check,No,Yes,0,700000,13000,1,Month-to-month,No,May,0
190,Electronic Check,No,Yes,0,1700000,4000,2,Month-to-month,No,May,0
191,Electronic Check,No,Yes,0,700000,13000,2,Month-to-month,No,May,0
192,Mailed Check,No,Yes,0,1100000,6000,1,Month-to-month,No,May,0
193,Electronic Check,No,Yes,0,1300000,8000,1,Month-to-month,No,May,0
194,Electronic Check,No,Yes,0,1200000,12000,13,Month-to-month,No,May,0
195,Electronic Check,No,Yes,0,800000,6000,30,Month-to-month,No,May,0
196,Electronic Check,No,Yes,0,900000,3000,15,Month-to-month,No,May,0
197,Electronic Check,No,Yes,0,1600000,4000,1,Month-to-month,No,May,0
198,Bank Transfer,No,Yes,0,900000,13000,16,Month-to-month,No,May,0
199,Electronic Check,No,Yes,0,1600000,1000,24,Month-to-month,No,May,0
200,Credit Card,No,Yes,0,1600000,13000,50,Month-to-month,No,May,0
201,Electronic Check,No,Yes,0,800000,1000,5,Month-to-month,No,May,0
202,Credit Card,No,Yes,0,1900000,7000,8,Month-to-month,No,May,0
203,Mailed Check,No,Yes,0,1000000,8000,4,Month-to-month,No,May,0
204,Mailed Check,No,Yes,0,700000,13000,2,Month-to-month,No,May,0
205,Bank Transfer,No,Yes,0,1500000,13000,50,Month-to-month,No,May,0
206,Electronic Check,No,Yes,0,1900000,1000,4,Month-to-month,No,May,0
207,Electronic Check,No,Yes,0,1900000,9000,55,Month-to-month,No,May,0
208,Electronic Check,No,Yes,0,700000,9000,3,Month-to-month,No,May,0
209,Credit Card,No,Yes,0,1700000,1000,16,Month-to-month,No,May,0
210,Electronic Check,Yes,Yes,0,1100000,8000,40,One year,No,May,0
211,Bank Transfer,No,Yes,0,1700000,13000,4,Month-to-month,No,May,0
212,Electronic Check,No,Yes,0,1800000,6000,10,Month-to-month,No,May,0
213,Electronic Check,No,Yes,0,1200000,7000,5,Month-to-month,No,May,0
214,Credit Card,No,Yes,0,1200000,11000,67,Month-to-month,No,May,0
215,Electronic Check,No,Yes,0,1900000,10000,11,Month-to-month,No,May,0
216,Electronic Check,No,Yes,0,1800000,3000,9,Month-to-month,No,May,0
217,Electronic Check,No,Yes,0,1700000,14000,5,Month-to-month,No,May,0
218,Mailed Check,No,Yes,0,1700000,4000,2,Month-to-month,No,May,0
219,Electronic Check,No,Yes,0,1200000,3000,13,Month-to-month,No,May,0
220,Electronic Check,No,Yes,0,1100000,6000,13,Month-to-month,No,May,0
221,Mailed Check,No,Yes,0,1200000,3000,1,Month-to-month,No,May,0
222,Electronic Check,No,Yes,0,1400000,9000,1,Month-to-month,No,May,0
223,Electronic Check,No,Yes,0,1800000,13000,15,Month-to-month,No,May,0
224,Electronic Check,No,Yes,0,1400000,9000,100,Month-to-month,No,May,0
225,Bank Transfer,Yes,Yes,0,1100000,14000,12,One year,No,May,0
226,Bank Transfer,Yes,Yes,0,1700000,3000,49,One year,No,May,0
227,Bank Transfer,No,Yes,0,1000000,6000,1,Month-to-month,No,May,0
228,Electronic Check,No,Yes,0,700000,3000,16,Month-to-month,No,May,0
229,Electronic Check,No,Yes,0,700000,2000,1,Month-to-month,No,May,0
230,Mailed Check,No,Yes,0,1200000,12000,1,Month-to-month,No,May,0
231,Electronic Check,No,Yes,0,1600000,2000,17,Month-to-month,No,May,0
232,Electronic Check,No,Yes,0,1700000,12000,7,Month-to-month,No,May,0
233,Electronic Check,No,Yes,0,900000,2000,15,Month-to-month,No,May,0
234,Electronic Check,No,Yes,0,1000000,2000,1,Month-to-month,No,May,0
235,Electronic Check,No,Yes,0,1500000,3000,13,Month-to-month,No,May,0
236,Electronic Check,No,Yes,0,1900000,13000,1,Month-to-month,No,May,0
237,Electronic Check,No,Yes,0,1100000,1000,3,Month-to-month,No,May,0
238,Credit Card,No,Yes,0,1900000,2000,10,Month-to-month,No,May,0
239,Electronic Check,No,Yes,0,800000,7000,1,Month-to-month,No,May,0
240,Electronic Check,No,Yes,0,700000,12000,3,Month-to-month,No,May,0
241,Electronic Check,No,Yes,0,700000,9000,3,Month-to-month,No,May,0
242,Electronic Check,No,Yes,0,1200000,4000,7,Month-to-month,No,May,0
243,Electronic Check,No,Yes,0,1200000,5000,8,Month-to-month,No,May,0
244,Credit Card,No,Yes,0,900000,1000,3,Month-to-month,No,May,0
245,Electronic Check,No,Yes,0,1700000,10000,9,Month-to-month,No,May,0
246,Credit Card,No,Yes,0,900000,6000,19,Month-to-month,No,May,0
247,Electronic Check,No,Yes,0,900000,2000,1,Month-to-month,No,May,0
248,Credit Card,No,Yes,0,700000,12000,1,Month-to-month,No,May,0
249,Bank Transfer,No,Yes,0,800000,10000,2,Month-to-month,No,May,0
250,Bank Transfer,No,Yes,0,1200000,8000,27,Month-to-month,No,May,0
251,Electronic Check,No,Yes,0,1400000,1000,1,Month-to-month,No,May,0
252,Electronic Check,No,Yes,0,1500000,8000,29,Month-to-month,No,May,0
253,Electronic Check,No,Yes,0,1600000,6000,23,Month-to-month,No,May,0
254,Bank Transfer,No,Yes,0,1500000,4000,19,Month-to-month,No,May,0
255,Electronic Check,No,Yes,0,1700000,3000,2,Month-to-month,No,May,0
256,Mailed Check,No,Yes,0,1200000,14000,1,Month-to-month,No,May,0
257,Electronic Check,No,Yes,0,900000,13000,31,Month-to-month,No,May,0
258,Electronic Check,No,Yes,0,1500000,11000,1,Month-to-month,No,May,0
259,Electronic Check,No,Yes,0,1100000,9000,4,Month-to-month,No,May,0
260,Electronic Check,No,Yes,0,1200000,14000,24,Month-to-month,No,May,0
261,Credit Card,No,Yes,0,1900000,3000,8,Month-to-month,No,June,0
262,Electronic Check,No,Yes,0,1600000,1000,26,Month-to-month,No,June,0
263,Electronic Check,Yes,Yes,0,1600000,3000,54,One year,No,June,0
264,Credit Card,No,Yes,0,1700000,4000,8,Month-to-month,No,June,0
265,Electronic Check,No,Yes,0,1100000,10000,1,Month-to-month,No,June,0
266,Credit Card,No,Yes,0,1400000,3000,39,Month-to-month,No,June,0
267,Electronic Check,Yes,Yes,0,900000,14000,56,One year,No,June,0
268,Mailed Check,No,Yes,0,1400000,7000,1,Month-to-month,No,June,0
269,Electronic Check,No,Yes,0,1100000,4000,1,Month-to-month,No,June,0
270,Credit Card,Yes,Yes,0,1000000,8000,61,Two years,Yes,June,0
271,Credit Card,No,Yes,0,1800000,7000,11,Month-to-month,No,June,0
272,Mailed Check,No,Yes,0,700000,8000,10,Month-to-month,No,June,0
273,Electronic Check,No,Yes,0,1100000,12000,22,Month-to-month,No,June,0
274,Electronic Check,No,Yes,0,1300000,1000,1,Month-to-month,No,June,0
275,Electronic Check,No,Yes,0,1600000,6000,25,Month-to-month,No,June,0
276,Mailed Check,No,Yes,0,800000,14000,1,Month-to-month,No,June,0
277,Electronic Check,No,Yes,0,700000,3000,47,Month-to-month,No,June,0
278,Bank Transfer,No,Yes,0,1100000,4000,21,Month-to-month,No,June,0
279,Electronic Check,No,Yes,0,1800000,3000,12,Month-to-month,No,June,0
280,Electronic Check,No,Yes,0,1200000,13000,15,Month-to-month,No,June,0
281,Electronic Check,No,Yes,0,800000,13000,34,Month-to-month,No,June,0
282,Electronic Check,No,Yes,0,1400000,13000,1,Month-to-month,No,June,0
283,Mailed Check,No,Yes,0,700000,11000,2,Month-to-month,No,June,0
284,Electronic Check,No,Yes,0,900000,4000,1,Month-to-month,No,June,0
285,Electronic Check,No,Yes,0,1900000,1000,9,Month-to-month,No,June,0
286,Mailed Check,No,Yes,0,1300000,1000,3,Month-to-month,No,June,0
287,Electronic Check,No,Yes,0,700000,14000,2,Month-to-month,No,June,0
288,Electronic Check,No,Yes,0,800000,3000,1,Month-to-month,No,June,0
289,Bank Transfer,No,Yes,0,900000,5000,47,Month-to-month,No,June,0
290,Electronic Check,No,Yes,0,900000,2000,22,Month-to-month,No,June,0
291,Electronic Check,No,Yes,0,1400000,8000,5,Month-to-month,No,June,0
292,Electronic Check,Yes,Yes,0,1400000,11000,25,One year,No,June,0
293,Electronic Check,No,Yes,0,1500000,2000,5,Month-to-month,No,June,0
294,Electronic Check,No,Yes,0,1500000,11000,15,Month-to-month,No,June,0
295,Mailed Check,No,Yes,0,700000,11000,1,Month-to-month,No,June,0
296,Electronic Check,No,Yes,0,1700000,9000,57,Month-to-month,No,June,0
297,Electronic Check,No,Yes,0,1500000,6000,9,Month-to-month,No,June,0
298,Mailed Check,No,Yes,0,1600000,14000,7,Month-to-month,No,June,0
299,Electronic Check,No,Yes,0,1600000,5000,10,Month-to-month,No,June,0
300,Electronic Check,No,Yes,0,1600000,1000,39,Month-to-month,No,June,0
301,Credit Card,No,Yes,0,900000,4000,2,Month-to-month,No,June,0
302,Credit Card,No,Yes,0,1200000,9000,1,Month-to-month,No,June,0
303,Electronic Check,No,Yes,0,800000,10000,1,Month-to-month,No,June,0
304,Credit Card,No,Yes,0,700000,2000,11,Month-to-month,No,June,0
305,Credit Card,No,Yes,0,1300000,13000,2,Month-to-month,No,June,0
306,Electronic Check,No,Yes,0,1900000,9000,2,Month-to-month,No,June,0
307,Electronic Check,No,Yes,0,1300000,7000,25,Month-to-month,No,June,0
308,Mailed Check,No,Yes,0,900000,6000,2,Month-to-month,No,June,0
309,Bank Transfer,No,Yes,0,1900000,14000,9,Month-to-month,No,June,0
310,Credit Card,No,Yes,0,1000000,11000,3,Month-to-month,No,June,0
311,Electronic Check,No,Yes,0,1100000,10000,16,Month-to-month,No,June,0
312,Mailed Check,No,Yes,0,1800000,3000,9,Month-to-month,No,June,0
313,Electronic Check,No,Yes,0,1500000,4000,6,Month-to-month,No,June,0
314,Bank Transfer,No,Yes,0,1800000,14000,30,Month-to-month,No,June,0
315,Electronic Check,No,Yes,0,1800000,5000,3,Month-to-month,No,June,0
316,Electronic Check,No,Yes,0,1700000,9000,43,Month-to-month,No,June,0
317,Electronic Check,No,Yes,0,1700000,3000,41,Month-to-month,No,June,0
318,Bank Transfer,Yes,Yes,0,900000,2000,67,One year,No,June,0
319,Electronic Check,Yes,Yes,0,1100000,2000,62,One year,No,June,0
320,Electronic Check,No,Yes,0,1500000,5000,14,Month-to-month,No,June,0
321,Electronic Check,No,Yes,0,1800000,1000,16,Month-to-month,No,June,0
322,Electronic Check,No,Yes,0,1900000,3000,9,Month-to-month,No,June,0
323,Electronic Check,Yes,Yes,0,1300000,4000,4,One year,No,June,0
324,Mailed Check,No,Yes,0,1600000,2000,3,Month-to-month,No,June,0
325,Bank Transfer,No,Yes,0,1500000,9000,48,Month-to-month,No,June,0
326,Electronic Check,No,Yes,0,800000,14000,2,Month-to-month,No,June,0
327,Bank Transfer,No,Yes,0,900000,2000,15,Month-to-month,No,June,0
328,Electronic Check,No,Yes,0,1100000,10000,1,Month-to-month,No,June,0
329,Bank Transfer,No,Yes,0,1500000,10000,47,Month-to-month,No,June,0
330,Electronic Check,No,Yes,0,1500000,4000,26,Month-to-month,No,June,0
331,Credit Card,No,Yes,0,1700000,14000,3,Month-to-month,No,June,0
332,Electronic Check,No,Yes,0,800000,14000,15,Month-to-month,No,June,0
333,Mailed Check,No,Yes,0,1900000,10000,1,Month-to-month,No,June,0
334,Bank Transfer,No,Yes,0,1400000,3000,17,Month-to-month,No,June,0
335,Electronic Check,Yes,Yes,0,1500000,4000,21,One year,No,June,0
336,Electronic Check,No,Yes,0,1300000,10000,1,Month-to-month,No,June,0
337,Electronic Check,No,Yes,0,800000,10000,16,Month-to-month,No,June,0
338,Credit Card,No,Yes,0,700000,8000,15,Month-to-month,No,June,0
339,Electronic Check,No,Yes,0,1000000,8000,1,Month-to-month,No,June,0
340,Mailed Check,No,Yes,0,900000,9000,1,Month-to-month,No,June,0
341,Electronic Check,No,Yes,0,1000000,12000,12,Month-to-month,No,June,0
342,Electronic Check,No,Yes,0,700000,10000,39,Month-to-month,No,June,0
343,Bank Transfer,No,Yes,0,1700000,9000,4,Month-to-month,No,June,0
344,Electronic Check,No,Yes,0,1200000,10000,30,Month-to-month,No,June,0
345,Credit Card,No,Yes,0,1300000,2000,3,Month-to-month,No,June,0
346,Bank Transfer,No,Yes,0,900000,3000,2,Month-to-month,No,June,0
347,Bank Transfer,No,Yes,0,1700000,14000,2,Month-to-month,No,June,0
348,Credit Card,Yes,Yes,0,900000,5000,45,One year,No,June,0
349,Electronic Check,No,Yes,0,1000000,10000,1,Month-to-month,No,June,0
350,Bank Transfer,No,Yes,0,1000000,12000,42,Month-to-month,No,June,0
351,Bank Transfer,No,Yes,0,1900000,11000,8,Month-to-month,No,June,0
352,Electronic Check,No,Yes,0,900000,5000,36,Month-to-month,No,June,0
353,Mailed Check,No,Yes,0,1500000,1000,7,Month-to-month,No,June,0
354,Electronic Check,No,Yes,0,1400000,8000,3,Month-to-month,No,June,0
355,Mailed Check,No,Yes,0,1600000,6000,34,Month-to-month,No,June,0
356,Electronic Check,No,Yes,0,1600000,3000,5,Month-to-month,No,June,0
357,Electronic Check,No,Yes,0,1900000,10000,1,Month-to-month,No,June,0
