Account,Payment Method,Maintenance,Churn,Points Used,Monthly Charges,Points,Tenure,Contract,Insurance,Month of Churn,Gender,Age
75,Electronic Check,No,No,386,130,1000,3,Month-to-month,No,None,Female,36
76,Mailed Check,Yes,No,9590,160,11000,3,One year,No,None,Female,31
77,Mailed Check,No,No,11892,180,13000,3,Month-to-month,No,None,Male,35
78,Bank Transfer,Yes,No,1156,160,5000,2,Two years,Yes,None,Male,45
79,Mailed Check,No,No,4836,130,6000,2,Month-to-month,No,None,Male,37
80,Electronic Check,Yes,No,780,90,1000,2,Two years,Yes,None,Male,46
81,Credit Card,Yes,No,2577,70,5000,2,Two years,Yes,None,Male,30
82,Mailed Check,Yes,No,2541,120,12000,1,One year,No,None,Male,35
83,Credit Card,Yes,No,2905,180,6000,1,Two years,Yes,None,Male,55
84,Bank Transfer,Yes,No,10308,120,14000,1,Two years,Yes,None,Female,38
85,Mailed Check,No,No,5077,140,10000,1,Month-to-month,No,None,Male,34
86,Credit Card,Yes,No,3649,90,12000,1,One year,No,None,Male,56
87,Mailed Check,Yes,No,4001,190,10000,1,One year,No,None,Male,23
88,Credit Card,Yes,No,7424,130,12000,0,Two years,Yes,None,Male,51
89,Electronic Check,No,Yes,0,90,9000,5,Month-to-month,No,May,Male,30
90,Electronic Check,No,Yes,0,180,1000,47,Month-to-month,No,May,Male,46
91,Electronic Check,No,Yes,0,170,1000,4,Month-to-month,No,May,Male,40
92,Credit Card,Yes,Yes,0,170,12000,65,One year,No,May,Male,51
93,Mailed Check,No,Yes,0,90,11000,6,Month-to-month,No,May,Female,30
94,Electronic Check,No,Yes,0,150,3000,11,Month-to-month,No,May,Male,46
95,Credit Card,No,Yes,0,180,6000,20,Month-to-month,No,May,Male,32
96,Electronic Check,No,Yes,0,100,13000,2,Month-to-month,No,May,Female,54
97,Electronic Check,No,Yes,0,90,7000,2,Month-to-month,No,May,Female,24
98,Electronic Check,No,Yes,0,190,5000,36,Month-to-month,No,May,Male,28
99,Electronic Check,No,Yes,0,70,5000,21,Month-to-month,No,May,Male,58
100,Electronic Check,No,Yes,0,120,14000,13,Month-to-month,No,May,Male,44
101,Bank Transfer,Yes,Yes,0,100,12000,53,One year,No,May,Male,37
102,Electronic Check,No,Yes,0,120,12000,10,Month-to-month,No,May,Male,32
103,Electronic Check,No,Yes,0,140,7000,17,Month-to-month,No,May,Female,20
104,Electronic Check,No,Yes,0,70,7000,55,Month-to-month,No,May,Female,34
105,Mailed Check,No,Yes,0,100,8000,1,Month-to-month,No,May,Male,37
106,Electronic Check,No,Yes,0,80,9000,5,Month-to-month,No,May,Female,59
107,Electronic Check,No,Yes,0,80,9000,2,Month-to-month,No,May,Female,50
108,Bank Transfer,No,Yes,0,110,14000,16,Month-to-month,No,May,Male,25
109,Mailed Check,No,Yes,0,140,13000,1,Month-to-month,No,May,Male,25
110,Credit Card,Yes,Yes,0,80,8000,66,Two years,Yes,May,Female,22
111,Electronic Check,Yes,Yes,0,120,1000,59,One year,No,May,Female,51
112,Bank Transfer,No,Yes,0,160,3000,47,Month-to-month,No,May,Male,34
113,Mailed Check,No,Yes,0,190,7000,1,Month-to-month,No,May,Female,54
114,Electronic Check,No,Yes,0,90,9000,5,Month-to-month,No,May,Male,24
115,Electronic Check,No,Yes,0,190,9000,36,Month-to-month,No,May,Female,34
116,Mailed Check,Yes,Yes,0,190,10000,33,One year,No,May,Male,37
117,Mailed Check,No,Yes,0,120,6000,1,Month-to-month,No,May,Female,34
118,Credit Card,Yes,Yes,0,120,10000,42,One year,No,May,Female,36
119,Credit Card,No,Yes,0,190,4000,29,Month-to-month,No,May,Female,36
120,Electronic Check,No,Yes,0,90,5000,61,Month-to-month,No,May,Male,43
121,Credit Card,No,Yes,0,140,3000,32,Month-to-month,No,May,Male,30
122,Electronic Check,No,Yes,0,120,3000,1,Month-to-month,No,May,Male,33
123,Bank Transfer,No,Yes,0,160,4000,8,Month-to-month,No,May,Female,56
124,Electronic Check,No,Yes,0,110,4000,39,Month-to-month,No,May,Male,51
125,Electronic Check,No,Yes,0,190,6000,29,Month-to-month,No,May,Male,31
126,Mailed Check,No,Yes,0,130,4000,30,Month-to-month,No,May,Female,26
127,Mailed Check,No,Yes,0,190,12000,1,Month-to-month,No,May,Female,58
128,Mailed Check,Yes,Yes,0,120,4000,42,One year,No,May,Male,19
129,Electronic Check,No,Yes,0,130,11000,60,Month-to-month,No,May,Male,22
130,Electronic Check,No,Yes,0,90,5000,1,Month-to-month,No,May,Female,49
131,Bank Transfer,No,Yes,0,150,5000,6,Month-to-month,No,May,Female,43
132,Electronic Check,No,Yes,0,140,14000,1,Month-to-month,No,May,Female,50
133,Electronic Check,No,Yes,0,120,11000,37,Month-to-month,No,May,Female,31
134,Electronic Check,No,Yes,0,160,1000,10,Month-to-month,No,May,Male,41
135,Electronic Check,No,Yes,0,190,14000,17,Month-to-month,No,May,Female,26
136,Electronic Check,No,Yes,0,80,13000,4,Month-to-month,No,May,Male,36
137,Electronic Check,No,Yes,0,80,8000,14,Month-to-month,No,May,Male,51
138,Bank Transfer,Yes,Yes,0,150,5000,71,Two years,Yes,May,Female,39
139,Credit Card,Yes,Yes,0,120,3000,48,One year,No,May,Male,25
140,Electronic Check,No,Yes,0,160,9000,10,Month-to-month,No,May,Male,30
141,Electronic Check,No,Yes,0,90,3000,1,Month-to-month,No,May,Female,32
142,Electronic Check,No,Yes,0,130,14000,49,Month-to-month,No,May,Male,45
143,Electronic Check,No,Yes,0,190,3000,2,Month-to-month,No,May,Female,38
144,Mailed Check,No,Yes,0,140,7000,1,Month-to-month,No,May,Female,30
145,Electronic Check,No,Yes,0,130,14000,2,Month-to-month,No,May,Male,32
146,Electronic Check,No,Yes,0,120,13000,1,Month-to-month,No,May,Female,30
147,Electronic Check,No,Yes,0,120,10000,21,Month-to-month,No,May,Male,30
148,Bank Transfer,No,Yes,0,90,12000,11,Month-to-month,No,May,Male,41
149,Electronic Check,No,Yes,0,170,12000,41,Month-to-month,No,May,Male,41
150,Credit Card,No,Yes,0,130,5000,7,Month-to-month,No,May,Female,19
151,Electronic Check,No,Yes,0,150,7000,1,Month-to-month,No,May,Female,40
152,Mailed Check,No,Yes,0,120,6000,22,Month-to-month,No,May,Male,35
153,Mailed Check,No,Yes,0,180,12000,1,Month-to-month,No,May,Male,53
154,Electronic Check,No,Yes,0,130,10000,1,Month-to-month,No,May,Male,45
155,Electronic Check,No,Yes,0,80,5000,30,Month-to-month,No,May,Female,32
156,Electronic Check,No,Yes,0,110,6000,1,Month-to-month,No,May,Male,29
157,Bank Transfer,No,Yes,0,70,1000,1,Month-to-month,No,May,Male,51
158,Mailed Check,Yes,Yes,0,130,11000,2,One year,No,May,Female,58
159,Electronic Check,No,Yes,0,190,7000,1,Month-to-month,No,May,Male,40
160,Electronic Check,No,Yes,0,90,4000,38,Month-to-month,No,May,Female,34
161,Electronic Check,No,Yes,0,80,14000,9,Month-to-month,No,May,Male,22
162,Electronic Check,No,Yes,0,110,5000,1,Month-to-month,No,May,Male,27
163,Electronic Check,No,Yes,0,120,11000,32,Month-to-month,No,May,Male,28
164,Electronic Check,No,Yes,0,170,4000,3,Month-to-month,No,May,Male,57
165,Electronic Check,No,Yes,0,150,8000,1,Month-to-month,No,May,Male,27
166,Electronic Check,No,Yes,0,140,12000,19,Month-to-month,No,May,Female,50
167,Credit Card,No,Yes,0,160,14000,6,Month-to-month,No,May,Male,41
168,Electronic Check,No,Yes,0,140,5000,56,Month-to-month,No,May,Female,30
169,Credit Card,No,Yes,0,140,9000,43,Month-to-month,No,May,Female,38
170,Bank Transfer,No,Yes,0,180,4000,9,Month-to-month,No,May,Male,32
171,Bank Transfer,Yes,Yes,0,100,7000,63,One year,No,May,Male,27
172,Electronic Check,No,Yes,0,170,9000,13,Month-to-month,No,May,Female,19
173,Electronic Check,No,Yes,0,140,12000,1,Month-to-month,No,May,Male,36
174,Bank Transfer,No,Yes,0,160,3000,11,Month-to-month,No,May,Male,30
175,Electronic Check,No,Yes,0,120,3000,13,Month-to-month,No,May,Female,45
176,Electronic Check,No,Yes,0,190,11000,5,Month-to-month,No,May,Female,56
177,Electronic Check,No,Yes,0,130,9000,10,Month-to-month,No,May,Male,33
178,Electronic Check,No,Yes,0,150,3000,17,Month-to-month,No,May,Male,19
179,Electronic Check,No,Yes,0,70,3000,32,Month-to-month,No,May,Female,46
180,Bank Transfer,No,Yes,0,180,9000,46,Month-to-month,No,May,Female,38
181,Electronic Check,No,Yes,0,160,7000,1,Month-to-month,No,May,Female,31
182,Electronic Check,No,Yes,0,170,10000,1,Month-to-month,No,May,Female,34
183,Electronic Check,No,Yes,0,110,2000,6,Month-to-month,No,May,Female,41
184,Credit Card,No,Yes,0,80,1000,32,Month-to-month,No,May,Male,50
185,Electronic Check,No,Yes,0,130,8000,59,Month-to-month,No,May,Female,53
186,Bank Transfer,No,Yes,0,90,5000,11,Month-to-month,No,May,Female,33
187,Mailed Check,No,Yes,0,170,14000,3,Month-to-month,No,May,Female,40
188,Bank Transfer,No,Yes,0,110,13000,21,Month-to-month,No,May,Male,55
189,Mailed Check,No,Yes,0,70,13000,1,Month-to-month,No,May,Male,34
190,Electronic Check,No,Yes,0,170,4000,2,Month-to-month,No,May,Female,51
191,Electronic Check,No,Yes,0,70,13000,2,Month-to-month,No,May,Male,52
192,Mailed Check,No,Yes,0,110,6000,1,Month-to-month,No,May,Female,27
193,Electronic Check,No,Yes,0,130,8000,1,Month-to-month,No,May,Male,35
194,Electronic Check,No,Yes,0,120,12000,13,Month-to-month,No,May,Male,43
195,Electronic Check,No,Yes,0,80,6000,30,Month-to-month,No,May,Male,45
196,Electronic Check,No,Yes,0,90,3000,15,Month-to-month,No,May,Male,37
197,Electronic Check,No,Yes,0,160,4000,1,Month-to-month,No,May,Female,35
198,Bank Transfer,No,Yes,0,90,13000,16,Month-to-month,No,May,Female,42
199,Electronic Check,No,Yes,0,160,1000,24,Month-to-month,No,May,Male,38
200,Credit Card,No,Yes,0,160,13000,50,Month-to-month,No,May,Male,38
201,Electronic Check,No,Yes,0,80,1000,5,Month-to-month,No,May,Male,27
202,Credit Card,No,Yes,0,190,7000,8,Month-to-month,No,May,Male,49
203,Mailed Check,No,Yes,0,100,8000,4,Month-to-month,No,May,Male,34
204,Mailed Check,No,Yes,0,70,13000,2,Month-to-month,No,May,Male,40
205,Bank Transfer,No,Yes,0,150,13000,50,Month-to-month,No,May,Male,38
206,Electronic Check,No,Yes,0,190,1000,4,Month-to-month,No,May,Female,29
207,Electronic Check,No,Yes,0,190,9000,55,Month-to-month,No,May,Male,22
208,Electronic Check,No,Yes,0,70,9000,3,Month-to-month,No,May,Female,36
209,Credit Card,No,Yes,0,170,1000,16,Month-to-month,No,May,Male,40
210,Electronic Check,Yes,Yes,0,110,8000,40,One year,No,May,Male,46
211,Bank Transfer,No,Yes,0,170,13000,4,Month-to-month,No,May,Male,32
212,Electronic Check,No,Yes,0,180,6000,10,Month-to-month,No,May,Male,30
213,Electronic Check,No,Yes,0,120,7000,5,Month-to-month,No,May,Female,27
214,Credit Card,No,Yes,0,120,11000,67,Month-to-month,No,May,Male,51
215,Electronic Check,No,Yes,0,190,10000,11,Month-to-month,No,May,Female,30
216,Electronic Check,No,Yes,0,180,3000,9,Month-to-month,No,May,Female,41
217,Electronic Check,No,Yes,0,170,14000,5,Month-to-month,No,May,Female,30
218,Mailed Check,No,Yes,0,170,4000,2,Month-to-month,No,May,Male,29
219,Electronic Check,No,Yes,0,120,3000,13,Month-to-month,No,May,Female,45
220,Electronic Check,No,Yes,0,110,6000,13,Month-to-month,No,May,Female,54
221,Mailed Check,No,Yes,0,120,3000,1,Month-to-month,No,May,Male,36
222,Electronic Check,No,Yes,0,140,9000,1,Month-to-month,No,May,Female,33
223,Electronic Check,No,Yes,0,180,13000,15,Month-to-month,No,May,Male,37
224,Electronic Check,No,Yes,0,140,9000,100,Month-to-month,No,May,Male,38
225,Bank Transfer,Yes,Yes,0,110,14000,12,One year,No,May,Male,31
226,Bank Transfer,Yes,Yes,0,170,3000,49,One year,No,May,Male,59
227,Bank Transfer,No,Yes,0,100,6000,1,Month-to-month,No,May,Male,37
228,Electronic Check,No,Yes,0,70,3000,16,Month-to-month,No,May,Female,29
229,Electronic Check,No,Yes,0,70,2000,1,Month-to-month,No,May,Female,35
230,Mailed Check,No,Yes,0,120,12000,1,Month-to-month,No,May,Male,29
231,Electronic Check,No,Yes,0,160,2000,17,Month-to-month,No,May,Female,52
232,Electronic Check,No,Yes,0,170,12000,7,Month-to-month,No,May,Male,42
233,Electronic Check,No,Yes,0,90,2000,15,Month-to-month,No,May,Male,59
234,Electronic Check,No,Yes,0,100,2000,1,Month-to-month,No,May,Female,50
235,Electronic Check,No,Yes,0,150,3000,13,Month-to-month,No,May,Male,33
236,Electronic Check,No,Yes,0,190,13000,1,Month-to-month,No,May,Female,43
237,Electronic Check,No,Yes,0,110,1000,3,Month-to-month,No,May,Female,33
238,Credit Card,No,Yes,0,190,2000,10,Month-to-month,No,May,Male,52
239,Electronic Check,No,Yes,0,80,7000,1,Month-to-month,No,May,Female,32
240,Electronic Check,No,Yes,0,70,12000,3,Month-to-month,No,May,Male,32
241,Electronic Check,No,Yes,0,70,9000,3,Month-to-month,No,May,Female,39
242,Electronic Check,No,Yes,0,120,4000,7,Month-to-month,No,May,Male,32
243,Electronic Check,No,Yes,0,120,5000,8,Month-to-month,No,May,Male,41
244,Credit Card,No,Yes,0,90,1000,3,Month-to-month,No,May,Male,40
245,Electronic Check,No,Yes,0,170,10000,9,Month-to-month,No,May,Male,45
246,Credit Card,No,Yes,0,90,6000,19,Month-to-month,No,May,Male,31
247,Electronic Check,No,Yes,0,90,2000,1,Month-to-month,No,May,Female,33
248,Credit Card,No,Yes,0,70,12000,1,Month-to-month,No,May,Male,34
249,Bank Transfer,No,Yes,0,80,10000,2,Month-to-month,No,May,Female,37
250,Bank Transfer,No,Yes,0,120,8000,27,Month-to-month,No,May,Male,45
251,Electronic Check,No,Yes,0,140,1000,1,Month-to-month,No,May,Male,37
252,Electronic Check,No,Yes,0,150,8000,29,Month-to-month,No,May,Female,39
253,Electronic Check,No,Yes,0,160,6000,23,Month-to-month,No,May,Male,29
254,Bank Transfer,No,Yes,0,150,4000,19,Month-to-month,No,May,Female,42
255,Electronic Check,No,Yes,0,170,3000,2,Month-to-month,No,May,Male,29
256,Mailed Check,No,Yes,0,120,14000,1,Month-to-month,No,May,Female,25
257,Electronic Check,No,Yes,0,90,13000,31,Month-to-month,No,May,Female,42
258,Electronic Check,No,Yes,0,150,11000,1,Month-to-month,No,May,Male,40
259,Electronic Check,No,Yes,0,110,9000,4,Month-to-month,No,May,Male,51
260,Electronic Check,No,Yes,0,120,14000,24,Month-to-month,No,May,Male,31
261,Credit Card,No,Yes,0,190,3000,8,Month-to-month,No,June,Male,32
262,Electronic Check,No,Yes,0,160,1000,26,Month-to-month,No,June,Male,38
263,Electronic Check,Yes,Yes,0,160,3000,54,One year,No,June,Male,32
264,Credit Card,No,Yes,0,170,4000,8,Month-to-month,No,June,Female,46
265,Electronic Check,No,Yes,0,110,10000,1,Month-to-month,No,June,Male,28
266,Credit Card,No,Yes,0,140,3000,39,Month-to-month,No,June,Male,29
267,Electronic Check,Yes,Yes,0,90,14000,56,One year,No,June,Male,31
268,Mailed Check,No,Yes,0,140,7000,1,Month-to-month,No,June,Male,25
269,Electronic Check,No,Yes,0,110,4000,1,Month-to-month,No,June,Male,45
270,Credit Card,Yes,Yes,0,100,8000,61,Two years,Yes,June,Male,36
271,Credit Card,No,Yes,0,180,7000,11,Month-to-month,No,June,Male,55
272,Mailed Check,No,Yes,0,70,8000,10,Month-to-month,No,June,Male,47
273,Electronic Check,No,Yes,0,110,12000,22,Month-to-month,No,June,Male,28
274,Electronic Check,No,Yes,0,130,1000,1,Month-to-month,No,June,Male,37
275,Electronic Check,No,Yes,0,160,6000,25,Month-to-month,No,June,Male,21
276,Mailed Check,No,Yes,0,80,14000,1,Month-to-month,No,June,Female,37
277,Electronic Check,No,Yes,0,70,3000,47,Month-to-month,No,June,Female,35
278,Bank Transfer,No,Yes,0,110,4000,21,Month-to-month,No,June,Female,38
279,Electronic Check,No,Yes,0,180,3000,12,Month-to-month,No,June,Female,26
280,Electronic Check,No,Yes,0,120,13000,15,Month-to-month,No,June,Male,50
281,Electronic Check,No,Yes,0,80,13000,34,Month-to-month,No,June,Male,53
282,Electronic Check,No,Yes,0,140,13000,1,Month-to-month,No,June,Male,42
283,Mailed Check,No,Yes,0,70,11000,2,Month-to-month,No,June,Male,29
284,Electronic Check,No,Yes,0,90,4000,1,Month-to-month,No,June,Male,55
285,Electronic Check,No,Yes,0,190,1000,9,Month-to-month,No,June,Male,26
286,Mailed Check,No,Yes,0,130,1000,3,Month-to-month,No,June,Female,37
287,Electronic Check,No,Yes,0,70,14000,2,Month-to-month,No,June,Male,44
288,Electronic Check,No,Yes,0,80,3000,1,Month-to-month,No,June,Male,38
289,Bank Transfer,No,Yes,0,90,5000,47,Month-to-month,No,June,Male,26
290,Electronic Check,No,Yes,0,90,2000,22,Month-to-month,No,June,Female,28
291,Electronic Check,No,Yes,0,140,8000,5,Month-to-month,No,June,Female,49
292,Electronic Check,Yes,Yes,0,140,11000,25,One year,No,June,Male,36
293,Electronic Check,No,Yes,0,150,2000,5,Month-to-month,No,June,Female,31
294,Electronic Check,No,Yes,0,150,11000,15,Month-to-month,No,June,Male,26
295,Mailed Check,No,Yes,0,70,11000,1,Month-to-month,No,June,Male,37
296,Electronic Check,No,Yes,0,170,9000,57,Month-to-month,No,June,Female,42
297,Electronic Check,No,Yes,0,150,6000,9,Month-to-month,No,June,Male,18
298,Mailed Check,No,Yes,0,160,14000,7,Month-to-month,No,June,Male,35
299,Electronic Check,No,Yes,0,160,5000,10,Month-to-month,No,June,Male,36
300,Electronic Check,No,Yes,0,160,1000,39,Month-to-month,No,June,Male,51
301,Credit Card,No,Yes,0,90,4000,2,Month-to-month,No,June,Male,41
302,Credit Card,No,Yes,0,120,9000,1,Month-to-month,No,June,Female,18
303,Electronic Check,No,Yes,0,80,10000,1,Month-to-month,No,June,Male,28
304,Credit Card,No,Yes,0,70,2000,11,Month-to-month,No,June,Male,31
305,Credit Card,No,Yes,0,130,13000,2,Month-to-month,No,June,Male,39
306,Electronic Check,No,Yes,0,190,9000,2,Month-to-month,No,June,Female,36
307,Electronic Check,No,Yes,0,130,7000,25,Month-to-month,No,June,Male,32
308,Mailed Check,No,Yes,0,90,6000,2,Month-to-month,No,June,Female,38
309,Bank Transfer,No,Yes,0,190,14000,9,Month-to-month,No,June,Male,58
310,Credit Card,No,Yes,0,100,11000,3,Month-to-month,No,June,Male,31
311,Electronic Check,No,Yes,0,110,10000,16,Month-to-month,No,June,Male,31
312,Mailed Check,No,Yes,0,180,3000,9,Month-to-month,No,June,Male,45
313,Electronic Check,No,Yes,0,150,4000,6,Month-to-month,No,June,Male,31
314,Bank Transfer,No,Yes,0,180,14000,30,Month-to-month,No,June,Female,33
315,Electronic Check,No,Yes,0,180,5000,3,Month-to-month,No,June,Male,39
316,Electronic Check,No,Yes,0,170,9000,43,Month-to-month,No,June,Female,43
317,Electronic Check,No,Yes,0,170,3000,41,Month-to-month,No,June,Female,49
318,Bank Transfer,Yes,Yes,0,90,2000,67,One year,No,June,Male,52
319,Electronic Check,Yes,Yes,0,110,2000,62,One year,No,June,Female,27
320,Electronic Check,No,Yes,0,150,5000,14,Month-to-month,No,June,Female,32
321,Electronic Check,No,Yes,0,180,1000,16,Month-to-month,No,June,Male,27
322,Electronic Check,No,Yes,0,190,3000,9,Month-to-month,No,June,Male,31
323,Electronic Check,Yes,Yes,0,130,4000,4,One year,No,June,Female,32
324,Mailed Check,No,Yes,0,160,2000,3,Month-to-month,No,June,Male,28
325,Bank Transfer,No,Yes,0,150,9000,48,Month-to-month,No,June,Female,30
326,Electronic Check,No,Yes,0,80,14000,2,Month-to-month,No,June,Female,31
327,Bank Transfer,No,Yes,0,90,2000,15,Month-to-month,No,June,Male,39
328,Electronic Check,No,Yes,0,110,10000,1,Month-to-month,No,June,Female,39
329,Bank Transfer,No,Yes,0,150,10000,47,Month-to-month,No,June,Male,33
330,Electronic Check,No,Yes,0,150,4000,26,Month-to-month,No,June,Male,47
331,Credit Card,No,Yes,0,170,14000,3,Month-to-month,No,June,Female,43
332,Electronic Check,No,Yes,0,80,14000,15,Month-to-month,No,June,Male,27
333,Mailed Check,No,Yes,0,190,10000,1,Month-to-month,No,June,Female,54
334,Bank Transfer,No,Yes,0,140,3000,17,Month-to-month,No,June,Female,43
335,Electronic Check,Yes,Yes,0,150,4000,21,One year,No,June,Male,45
336,Electronic Check,No,Yes,0,130,10000,1,Month-to-month,No,June,Male,40
337,Electronic Check,No,Yes,0,80,10000,16,Month-to-month,No,June,Male,29
338,Credit Card,No,Yes,0,70,8000,15,Month-to-month,No,June,Male,29
339,Electronic Check,No,Yes,0,100,8000,1,Month-to-month,No,June,Female,30
340,Mailed Check,No,Yes,0,90,9000,1,Month-to-month,No,June,Female,27
341,Electronic Check,No,Yes,0,100,12000,12,Month-to-month,No,June,Male,37
342,Electronic Check,No,Yes,0,70,10000,39,Month-to-month,No,June,Male,38
343,Bank Transfer,No,Yes,0,170,9000,4,Month-to-month,No,June,Female,31
344,Electronic Check,No,Yes,0,120,10000,30,Month-to-month,No,June,Female,29
345,Credit Card,No,Yes,0,130,2000,3,Month-to-month,No,June,Male,35
346,Bank Transfer,No,Yes,0,90,3000,2,Month-to-month,No,June,Male,23
347,Bank Transfer,No,Yes,0,170,14000,2,Month-to-month,No,June,Male,41
348,Credit Card,Yes,Yes,0,90,5000,45,One year,No,June,Male,47
349,Electronic Check,No,Yes,0,100,10000,1,Month-to-month,No,June,Female,42
