PaperlessBilling,MultipleLines,Set,gender,InternetService,SeniorCitizen,MonthlyCharges,TotalCharges,tenure,Churn,Contract,customerID,Dependents,DeviceProtection,OnlineBackup,OnlineSecurity,Partner,PaymentMethod,PhoneService,StreamingMovies,StreamingTV,TechSupport
Yes,No,Test,Male,Fiber optic,0,105.50,2686.05,25,No,Month-to-month,5129-JLPIS,No,Yes,No,Yes,No,Electronic check,Yes,Yes,Yes,Yes
No,Yes,Test,Female,Fiber optic,0,113.25,7895.15,69,No,Two year,3655-SNQYZ,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,Yes,Yes,Yes
No,No,Train,Female,No,0,20.65,1022.95,52,No,One year,8191-XWSZG,No,No internet service,No internet service,No internet service,No,Mailed check,Yes,No internet service,No internet service,No internet service
No,Yes,Train,Male,Fiber optic,0,106.70,7382.25,71,No,Two year,9959-WOFKT,Yes,Yes,No,Yes,No,Bank transfer (automatic),Yes,Yes,Yes,No
No,No,Train,Female,DSL,0,55.20,528.35,10,Yes,Month-to-month,4190-MFLUW,Yes,Yes,No,No,Yes,Credit card (automatic),Yes,No,No,Yes
Yes,No,Train,Female,Fiber optic,0,90.05,1862.90,21,No,Month-to-month,4183-MYFRB,No,Yes,Yes,No,No,Electronic check,Yes,Yes,No,No
Yes,No phone service,Test,Male,DSL,1,39.65,39.65,1,Yes,Month-to-month,8779-QRDMV,No,Yes,No,No,No,Electronic check,No,Yes,No,No
No,No,Train,Male,No,0,19.80,202.25,12,No,One year,1680-VDCWW,No,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),Yes,No internet service,No internet service,No internet service
No,No,Train,Male,No,0,20.15,20.15,1,Yes,Month-to-month,1066-JKSGK,No,No internet service,No internet service,No internet service,No,Mailed check,Yes,No internet service,No internet service,No internet service
Yes,Yes,Train,Female,DSL,0,59.90,3505.10,58,No,Two year,3638-WEABW,No,No,Yes,No,Yes,Credit card (automatic),Yes,No,No,Yes
No,No,Train,Male,DSL,0,59.60,2970.30,49,No,Month-to-month,6322-HRPFA,Yes,No,Yes,Yes,Yes,Credit card (automatic),Yes,No,No,Yes
Yes,No,Test,Female,DSL,0,55.30,1530.60,30,No,Month-to-month,6865-JZNKO,No,No,Yes,Yes,No,Bank transfer (automatic),Yes,No,No,No
Yes,Yes,Train,Male,Fiber optic,0,99.35,4749.15,47,Yes,Month-to-month,6467-CHFZW,Yes,No,Yes,No,Yes,Electronic check,Yes,Yes,Yes,No
No,No phone service,Test,Male,DSL,0,30.20,30.20,1,Yes,Month-to-month,8665-UTDHZ,Yes,No,Yes,No,Yes,Electronic check,No,No,No,No
Yes,Yes,Train,Male,DSL,0,90.25,6369.45,72,No,Two year,5248-YGIJN,No,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,Yes,Yes,Yes
Yes,No,Train,Female,DSL,0,64.70,1093.10,17,Yes,Month-to-month,8773-HHUOZ,Yes,No,No,No,No,Mailed check,Yes,Yes,Yes,No
Yes,Yes,Train,Female,Fiber optic,1,96.35,6766.95,71,No,Two year,3841-NFECX,No,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,No,No,Yes
Yes,No,Train,Male,Fiber optic,1,95.50,181.65,2,No,Month-to-month,4929-XIHVW,No,Yes,No,No,Yes,Credit card (automatic),Yes,Yes,Yes,No
No,No,Test,Female,DSL,0,66.15,1874.45,27,No,One year,6827-IEAUQ,Yes,Yes,Yes,Yes,Yes,Mailed check,Yes,No,No,Yes
No,No,Train,Male,No,0,20.20,20.20,1,No,Month-to-month,7310-EGVHZ,No,No internet service,No internet service,No internet service,No,Bank transfer (automatic),Yes,No internet service,No internet service,No internet service
No,No,Test,Male,DSL,1,45.25,45.25,1,No,Month-to-month,3413-BMNZE,No,No,No,No,No,Bank transfer (automatic),Yes,No,No,No
No,Yes,Train,Female,Fiber optic,0,99.90,7251.70,72,No,Two year,6234-RAAPL,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),Yes,No,Yes,Yes
Yes,No,Train,Male,Fiber optic,0,69.70,316.90,5,Yes,Month-to-month,6047-YHPVI,No,No,No,No,No,Electronic check,Yes,No,No,No
Yes,No,Train,Female,Fiber optic,0,74.80,3548.30,46,No,Month-to-month,6572-ADKRS,No,Yes,No,No,No,Credit card (automatic),Yes,No,No,No
Yes,Yes,Test,Male,Fiber optic,0,106.35,3549.25,34,Yes,Month-to-month,5380-WJKOV,No,Yes,Yes,No,No,Electronic check,Yes,Yes,Yes,No
Yes,Yes,Train,Female,Fiber optic,0,97.85,1105.40,11,Yes,Month-to-month,8168-UQWWF,No,Yes,No,No,No,Bank transfer (automatic),Yes,Yes,Yes,No
No,No,Train,Male,DSL,0,49.55,475.70,10,No,One year,8865-TNMNX,Yes,No,Yes,No,Yes,Mailed check,Yes,No,No,No
Yes,Yes,Test,Female,DSL,0,69.20,4872.35,70,No,Two year,9489-DEDVP,Yes,No,Yes,Yes,Yes,Credit card (automatic),Yes,No,Yes,No
No,No,Train,Female,No,0,20.75,418.25,17,No,One year,9867-JCZSP,Yes,No internet service,No internet service,No internet service,Yes,Mailed check,Yes,No internet service,No internet service,No internet service
Yes,Yes,Train,Female,DSL,0,79.85,4861.45,63,No,Two year,4671-VJLCL,No,Yes,Yes,Yes,No,Credit card (automatic),Yes,No,Yes,Yes
Yes,Yes,Test,Female,DSL,0,76.20,981.45,13,No,Month-to-month,4080-IIARD,No,No,Yes,Yes,Yes,Electronic check,Yes,No,Yes,Yes
Yes,Yes,Train,Female,Fiber optic,0,84.50,3906.70,49,No,Month-to-month,3714-NTNFO,No,No,No,No,No,Electronic check,Yes,Yes,No,No
No,No,Train,Male,DSL,0,49.25,97.00,2,No,Month-to-month,5948-UJZLF,No,No,Yes,No,No,Mailed check,Yes,No,No,No
Yes,No,Train,Female,Fiber optic,0,80.65,144.15,2,Yes,Month-to-month,7760-OYPDY,No,No,No,No,No,Electronic check,Yes,No,Yes,No
Yes,Yes,Test,Male,DSL,0,79.75,4217.80,52,No,Two year,7639-LIAYI,No,No,No,Yes,No,Credit card (automatic),Yes,Yes,Yes,Yes
Yes,Yes,Test,Female,DSL,0,64.15,4254.10,69,No,Two year,2954-PIBKO,Yes,Yes,No,Yes,Yes,Credit card (automatic),Yes,No,No,Yes
Yes,Yes,Test,Female,Fiber optic,1,90.25,3838.75,43,No,Month-to-month,8012-SOUDQ,No,No,Yes,No,No,Electronic check,Yes,No,Yes,No
Yes,No,Train,Female,Fiber optic,0,99.10,1426.40,15,Yes,Month-to-month,9420-LOJKX,No,No,Yes,Yes,No,Credit card (automatic),Yes,Yes,Yes,No
Yes,Yes,Train,Female,DSL,1,69.50,1752.65,25,No,Month-to-month,6575-SUVOI,No,No,No,Yes,Yes,Credit card (automatic),Yes,No,Yes,Yes
Yes,Yes,Train,Female,Fiber optic,1,80.65,633.30,8,Yes,Month-to-month,7495-OOKFY,No,No,Yes,No,Yes,Credit card (automatic),Yes,No,No,No
Yes,No,Train,Female,DSL,1,74.85,4456.35,60,No,One year,4667-QONEA,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,Yes,No,Yes
Yes,Yes,Train,Male,Fiber optic,1,95.45,1752.55,18,Yes,Month-to-month,1658-BYGOY,No,No,No,No,No,Electronic check,Yes,Yes,Yes,No
Yes,Yes,Test,Female,Fiber optic,0,99.65,6311.20,63,No,One year,8769-KKTPH,Yes,No,No,Yes,Yes,Credit card (automatic),Yes,Yes,Yes,No
Yes,Yes,Train,Male,Fiber optic,1,108.45,7076.35,66,No,One year,5067-XJQFU,Yes,Yes,Yes,No,Yes,Electronic check,Yes,Yes,Yes,Yes
No,Yes,Train,Female,No,0,24.95,894.30,34,No,Two year,3957-SQXML,Yes,No internet service,No internet service,No internet service,Yes,Credit card (automatic),Yes,No internet service,No internet service,No internet service
Yes,Yes,Train,Female,Fiber optic,0,107.50,7853.70,72,No,Two year,5954-BDFSG,No,Yes,No,No,No,Credit card (automatic),Yes,Yes,Yes,Yes
Yes,Yes,Test,Female,Fiber optic,0,100.50,4707.10,47,No,Month-to-month,0434-CSFON,No,Yes,No,No,Yes,Electronic check,Yes,Yes,Yes,No
Yes,Yes,Train,Male,Fiber optic,0,89.90,5450.70,60,No,Month-to-month,1215-FIGMP,No,No,Yes,No,No,Bank transfer (automatic),Yes,No,Yes,No
No,No phone service,Train,Male,DSL,0,42.10,2962.00,72,No,Two year,0526-SXDJP,No,Yes,Yes,Yes,Yes,Bank transfer (automatic),No,No,No,No
Yes,No,Train,Female,DSL,0,54.40,957.10,18,No,One year,0557-ASKVU,Yes,Yes,No,No,Yes,Credit card (automatic),Yes,No,No,Yes
No,Yes,Train,Female,Fiber optic,0,94.40,857.25,9,Yes,Month-to-month,5698-BQJOH,No,No,No,No,No,Electronic check,Yes,Yes,Yes,No
Yes,No,Train,Female,DSL,0,75.30,244.10,3,No,Month-to-month,5122-CYFXA,No,No,Yes,No,No,Electronic check,Yes,Yes,Yes,Yes
Yes,Yes,Train,Male,Fiber optic,0,78.90,3650.35,47,No,One year,8627-ZYGSZ,No,No,Yes,No,Yes,Electronic check,Yes,No,No,No
No,No,Train,Female,DSL,0,79.20,2497.20,31,No,Two year,3410-YOQBQ,No,Yes,Yes,No,No,Mailed check,Yes,Yes,Yes,Yes
No,No,Train,Female,No,0,20.15,930.90,50,No,Two year,3170-NMYVV,Yes,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),Yes,No internet service,No internet service,No internet service
Yes,No,Train,Male,Fiber optic,0,79.85,887.35,10,No,Month-to-month,7410-OIEDU,No,Yes,No,Yes,No,Mailed check,Yes,No,No,No
No,No,Train,Male,DSL,0,49.05,49.05,1,No,Month-to-month,2273-QCKXA,No,No,No,No,No,Mailed check,Yes,No,No,Yes
Yes,No,Train,Female,No,0,20.40,1090.65,52,No,One year,0731-EBJQB,Yes,No internet service,No internet service,No internet service,Yes,Electronic check,Yes,No internet service,No internet service,No internet service
Yes,Yes,Train,Male,Fiber optic,1,111.60,7099.00,64,No,Two year,1891-QRQSA,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,Yes,Yes,Yes
Yes,Yes,Test,Male,No,0,24.25,1424.60,62,No,Two year,8028-PNXHQ,Yes,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),Yes,No internet service,No internet service,No internet service
Yes,No,Test,Female,DSL,0,64.50,177.40,3,No,Month-to-month,5630-AHZIL,Yes,No,No,Yes,No,Bank transfer (automatic),Yes,Yes,No,Yes
No,Yes,Train,Female,Fiber optic,1,110.50,6139.50,56,No,One year,2673-CXQEU,No,Yes,Yes,Yes,No,Electronic check,Yes,Yes,Yes,No
No,No,Train,Female,DSL,0,55.65,2688.85,46,No,One year,6416-JNVRK,No,No,No,No,No,Credit card (automatic),Yes,Yes,No,No
No,No,Test,Female,DSL,0,54.65,482.25,8,No,Month-to-month,5590-ZSKRV,Yes,No,Yes,Yes,Yes,Mailed check,Yes,No,No,No
Yes,No,Train,Male,DSL,1,74.75,2111.30,30,No,Month-to-month,0191-ZHSKZ,No,No,Yes,Yes,No,Electronic check,Yes,Yes,Yes,No
Yes,Yes,Train,Female,No,0,25.90,1216.60,45,No,One year,3887-PBQAO,Yes,No internet service,No internet service,No internet service,Yes,Credit card (automatic),Yes,No internet service,No internet service,No internet service
Yes,No,Train,Female,Fiber optic,0,79.35,79.35,1,Yes,Month-to-month,5919-TMRGD,Yes,No,No,No,No,Electronic check,Yes,No,Yes,No
No,No phone service,Test,Female,DSL,0,50.55,565.35,11,No,Month-to-month,8108-UXRQN,Yes,No,No,Yes,Yes,Electronic check,No,Yes,Yes,No
Yes,No,Train,Female,Fiber optic,0,75.15,496.90,7,Yes,Month-to-month,9191-MYQKX,No,Yes,No,No,Yes,Bank transfer (automatic),Yes,No,No,No
Yes,No,Train,Female,Fiber optic,0,103.80,4327.50,42,No,Month-to-month,9919-YLNNG,No,Yes,Yes,No,No,Bank transfer (automatic),Yes,Yes,Yes,Yes
Yes,No,Test,Female,No,0,20.15,973.35,49,No,Two year,0318-ZOPWS,No,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),Yes,No internet service,No internet service,No internet service
Yes,Yes,Train,Male,Fiber optic,0,99.30,918.75,9,No,Month-to-month,4445-ZJNMU,No,No,Yes,No,No,Credit card (automatic),Yes,Yes,Yes,No
Yes,No,Train,Female,DSL,0,62.15,2215.45,35,No,One year,4808-YNLEU,No,No,No,Yes,Yes,Bank transfer (automatic),Yes,No,Yes,No
No,No,Train,Female,No,0,20.65,1057.00,48,No,Two year,1862-QRWPE,Yes,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),Yes,No internet service,No internet service,No internet service
Yes,No,Train,Female,No,0,19.95,927.10,46,No,Two year,2796-NNUFI,Yes,No internet service,No internet service,No internet service,Yes,Mailed check,Yes,No internet service,No internet service,No internet service
No,No phone service,Train,Male,DSL,0,33.75,1009.25,29,No,Month-to-month,3016-KSVCP,No,No,No,No,Yes,Mailed check,No,No,Yes,No
No,No,Train,Male,Fiber optic,0,82.05,2570.20,30,No,Month-to-month,4767-HZZHQ,Yes,Yes,Yes,No,Yes,Bank transfer (automatic),Yes,No,No,No
No,No,Train,Male,Fiber optic,1,74.70,74.70,1,No,Month-to-month,2424-WVHPL,No,No,No,No,No,Electronic check,Yes,No,No,Yes
Yes,Yes,Test,Male,DSL,0,84.00,5714.25,66,No,Two year,7233-PAHHL,Yes,Yes,No,Yes,Yes,Mailed check,Yes,Yes,Yes,Yes
Yes,Yes,Train,Female,Fiber optic,0,111.05,7107.00,65,No,Month-to-month,6067-NGCEU,No,Yes,Yes,Yes,No,Credit card (automatic),Yes,Yes,Yes,No
Yes,Yes,Test,Male,Fiber optic,0,100.90,7459.05,72,No,Two year,9848-JQJTX,No,Yes,Yes,No,No,Bank transfer (automatic),Yes,Yes,Yes,No
Yes,Yes,Test,Female,Fiber optic,0,78.95,927.35,12,Yes,Month-to-month,8637-XJIVR,No,No,No,Yes,No,Electronic check,Yes,No,No,No
Yes,Yes,Train,Male,DSL,0,66.85,4748.70,71,No,One year,9803-FTJCG,Yes,No,Yes,Yes,Yes,Credit card (automatic),Yes,No,No,Yes
No,No,Train,Male,No,0,21.05,113.85,5,Yes,Month-to-month,0278-YXOOG,No,No internet service,No internet service,No internet service,No,Mailed check,Yes,No internet service,No internet service,No internet service
No,No,Train,Male,No,0,21.00,1107.20,52,No,Two year,3212-KXOCR,No,No internet service,No internet service,No internet service,No,Bank transfer (automatic),Yes,No internet service,No internet service,No internet service
Yes,No,Train,Female,Fiber optic,1,98.50,2514.50,25,Yes,Month-to-month,4598-XLKNJ,No,Yes,Yes,No,Yes,Electronic check,Yes,Yes,Yes,No
No,No,Train,Male,No,0,20.20,20.20,1,No,Month-to-month,6380-ARCEH,No,No internet service,No internet service,No internet service,No,Mailed check,Yes,No internet service,No internet service,No internet service
No,No,Test,Female,No,0,19.45,19.45,1,No,Month-to-month,3679-XASPY,Yes,No internet service,No internet service,No internet service,Yes,Electronic check,Yes,No internet service,No internet service,No internet service
No,Yes,Train,Male,Fiber optic,0,95.00,3605.60,38,No,One year,7123-WQUHX,No,Yes,No,No,No,Bank transfer (automatic),Yes,No,Yes,Yes
No,No phone service,Train,Female,DSL,1,45.55,3027.25,66,No,One year,5386-THSLQ,No,Yes,Yes,No,Yes,Bank transfer (automatic),No,No,Yes,No
Yes,Yes,Train,Male,Fiber optic,0,110.00,7611.85,68,Yes,Two year,3192-NQECA,No,Yes,Yes,No,Yes,Bank transfer (automatic),Yes,Yes,Yes,Yes
No,No phone service,Train,Male,DSL,0,24.30,100.20,5,No,Month-to-month,6180-YBIQI,No,No,No,No,No,Mailed check,No,No,No,No
Yes,Yes,Train,Female,Fiber optic,0,104.15,7303.05,72,No,One year,6728-DKUCO,Yes,No,Yes,Yes,Yes,Electronic check,Yes,Yes,Yes,No
No,No phone service,Train,Female,DSL,0,30.15,927.65,32,No,One year,9750-BOOHV,No,No,No,Yes,No,Mailed check,No,No,No,No
No,Yes,Test,Male,Fiber optic,0,94.35,3921.30,43,No,One year,8597-CWYHH,No,No,No,No,No,Mailed check,Yes,Yes,Yes,No
No,No,Train,Male,No,0,19.40,1363.25,72,No,Two year,2848-YXSMW,Yes,No internet service,No internet service,No internet service,Yes,Credit card (automatic),Yes,No internet service,No internet service,No internet service
Yes,Yes,Train,Male,Fiber optic,0,96.75,5238.90,55,Yes,Month-to-month,0486-HECZI,No,No,Yes,Yes,Yes,Electronic check,Yes,No,Yes,No
No,No,Train,Female,DSL,0,57.95,3042.25,52,No,One year,4549-ZDQYY,No,Yes,No,Yes,No,Credit card (automatic),Yes,No,No,Yes
Yes,No,Train,Female,Fiber optic,0,91.65,3954.10,43,No,Month-to-month,5712-AHQNN,No,Yes,Yes,No,No,Electronic check,Yes,No,Yes,No
Yes,Yes,Train,Female,Fiber optic,1,76.50,2868.15,37,Yes,Month-to-month,4846-WHAFZ,No,No,No,No,Yes,Electronic check,Yes,No,No,No
Yes,No phone service,Train,Female,DSL,0,54.60,3423.50,64,No,Two year,5256-SKJGO,Yes,No,Yes,No,Yes,Electronic check,No,Yes,Yes,Yes
No,No,Train,Male,Fiber optic,0,89.85,248.40,3,No,Month-to-month,3071-VBYPO,Yes,No,Yes,Yes,Yes,Electronic check,Yes,No,Yes,No
No,No phone service,Train,Female,DSL,0,31.05,1126.35,36,No,Two year,9560-BBZXK,No,No,No,Yes,No,Bank transfer (automatic),No,No,No,No
Yes,Yes,Test,Female,Fiber optic,0,100.25,1064.65,10,Yes,Month-to-month,5299-RULOA,Yes,No,No,Yes,Yes,Electronic check,Yes,Yes,Yes,No
No,No,Train,Female,No,0,20.65,835.15,41,No,Two year,8402-OOOHJ,No,No internet service,No internet service,No internet service,No,Mailed check,Yes,No internet service,No internet service,No internet service
Yes,Yes,Train,Male,Fiber optic,0,85.20,2151.60,27,No,Month-to-month,9445-ZUEQE,Yes,No,Yes,No,Yes,Credit card (automatic),Yes,No,No,Yes
Yes,Yes,Train,Female,Fiber optic,0,99.80,5515.45,56,No,One year,1091-SOZGA,Yes,Yes,No,No,Yes,Credit card (automatic),Yes,Yes,Yes,No
No,No,Train,Female,No,0,20.70,112.75,6,No,Month-to-month,2928-HLDBA,No,No internet service,No internet service,No internet service,No,Mailed check,Yes,No internet service,No internet service,No internet service
Yes,Yes,Train,Male,Fiber optic,0,74.40,229.55,3,Yes,Month-to-month,0404-SWRVG,No,No,No,No,No,Electronic check,Yes,No,No,No
No,No,Train,Female,DSL,0,50.70,350.35,7,No,Month-to-month,6497-TILVL,Yes,No,No,Yes,Yes,Mailed check,Yes,No,No,No
No,No,Train,Female,No,0,20.85,62.90,4,No,Month-to-month,7219-TLZHO,Yes,No internet service,No internet service,No internet service,Yes,Mailed check,Yes,No internet service,No internet service,No internet service
Yes,No,Train,Male,Fiber optic,0,88.95,3027.65,33,No,Two year,4622-YNKIJ,No,No,No,Yes,No,Electronic check,Yes,No,Yes,Yes
Yes,Yes,Train,Female,Fiber optic,1,78.05,2135.50,27,Yes,Month-to-month,4412-YLTKF,No,Yes,No,No,No,Electronic check,Yes,No,No,No
Yes,Yes,Train,Male,No,0,23.55,1723.95,72,No,Two year,6734-PSBAW,No,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),Yes,No internet service,No internet service,No internet service
No,No,Test,Male,No,0,19.75,19.75,1,No,Month-to-month,3930-ZGWVE,No,No internet service,No internet service,No internet service,No,Mailed check,Yes,No internet service,No internet service,No internet service
Yes,No phone service,Train,Male,DSL,1,56.45,3985.35,71,No,One year,2639-UGMAZ,No,No,Yes,Yes,No,Electronic check,No,Yes,Yes,No
Yes,Yes,Test,Female,Fiber optic,0,85.95,1215.65,13,No,Month-to-month,2876-GZYZC,No,No,No,No,No,Electronic check,Yes,Yes,No,No
Yes,No phone service,Train,Female,DSL,0,58.60,1502.65,25,Yes,Month-to-month,6207-WIOLX,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),No,Yes,Yes,No
No,No,Test,Male,DSL,0,50.55,3260.10,67,No,Two year,8587-XYZSF,No,No,No,No,No,Bank transfer (automatic),Yes,No,No,Yes
Yes,No phone service,Test,Male,DSL,0,35.45,35.45,1,Yes,Month-to-month,3091-FYHKI,No,No,No,No,No,Electronic check,No,Yes,No,No
No,No,Train,Male,DSL,0,44.35,81.25,2,Yes,Month-to-month,2372-HWUHI,No,No,No,No,No,Electronic check,Yes,No,No,No
Yes,Yes,Train,Female,No,0,25.70,1188.20,43,No,Two year,7799-LGRDP,No,No internet service,No internet service,No internet service,No,Credit card (automatic),Yes,No internet service,No internet service,No internet service
Yes,No,Train,Female,Fiber optic,0,75.00,1778.50,23,No,Month-to-month,7850-VWJUU,No,No,No,Yes,No,Bank transfer (automatic),Yes,No,No,No
No,No,Train,Female,No,0,20.20,1277.75,64,No,Two year,3774-VBNXY,Yes,No internet service,No internet service,No internet service,Yes,Mailed check,Yes,No internet service,No internet service,No internet service
Yes,No,Train,Male,No,0,19.60,1170.55,57,No,Two year,6217-KDYWC,Yes,No internet service,No internet service,No internet service,No,Mailed check,Yes,No internet service,No internet service,No internet service
Yes,No,Test,Female,Fiber optic,1,70.45,70.45,1,Yes,Month-to-month,0390-DCFDQ,No,No,No,No,Yes,Mailed check,Yes,No,No,No
Yes,Yes,Train,Female,DSL,1,88.05,6425.65,72,No,Two year,3146-MSEGF,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,Yes,Yes,Yes
No,Yes,Train,Female,DSL,0,71.15,563.65,8,Yes,Month-to-month,4080-OGPJL,No,No,No,Yes,No,Electronic check,Yes,Yes,No,Yes
Yes,Yes,Test,Female,Fiber optic,0,101.05,5971.25,61,No,Two year,1095-WGNGG,No,No,Yes,No,Yes,Bank transfer (automatic),Yes,Yes,Yes,No
Yes,Yes,Train,Male,Fiber optic,0,84.30,5289.05,64,No,One year,2636-SJDOU,No,No,Yes,Yes,No,Credit card (automatic),Yes,No,No,No
No,Yes,Train,Male,No,1,23.95,1756.20,71,No,Two year,1131-QQZEB,No,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),Yes,No internet service,No internet service,No internet service
Yes,Yes,Test,Female,Fiber optic,0,99.05,6416.70,65,No,Two year,5716-EZXZN,Yes,No,Yes,Yes,Yes,Credit card (automatic),Yes,No,Yes,Yes
No,No,Test,Male,No,0,19.60,61.35,3,No,One year,6837-BJYDQ,No,No internet service,No internet service,No internet service,No,Mailed check,Yes,No internet service,No internet service,No internet service
Yes,No,Train,Male,DSL,0,45.65,45.65,1,Yes,Month-to-month,2135-RXIHG,No,No,No,No,No,Electronic check,Yes,No,No,No
No,No,Train,Male,DSL,0,64.50,1929.95,30,No,One year,6440-DKQGE,Yes,Yes,Yes,No,No,Credit card (automatic),Yes,No,Yes,No
Yes,No,Train,Male,DSL,0,69.50,1071.40,15,No,Month-to-month,3466-BYAVD,Yes,Yes,Yes,No,Yes,Mailed check,Yes,Yes,No,Yes
Yes,No,Train,Female,DSL,0,68.55,564.35,8,No,Month-to-month,3780-YVMFA,Yes,No,No,No,Yes,Electronic check,Yes,Yes,Yes,Yes
No,Yes,Train,Male,Fiber optic,0,95.00,655.50,7,Yes,Month-to-month,3874-EQOEP,No,No,No,No,No,Mailed check,Yes,Yes,Yes,No
Yes,Yes,Train,Female,Fiber optic,0,108.15,7930.55,70,No,One year,1679-JRFBR,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,Yes,Yes,No
No,No,Test,Male,DSL,0,86.10,5215.25,62,No,Two year,9073-ZZIAY,Yes,Yes,Yes,Yes,Yes,Electronic check,Yes,Yes,Yes,Yes
No,No,Train,Female,No,0,19.70,113.50,6,No,Month-to-month,3077-RSNTJ,Yes,No internet service,No internet service,No internet service,Yes,Mailed check,Yes,No internet service,No internet service,No internet service
Yes,No,Train,Female,Fiber optic,0,80.90,1152.80,14,No,Month-to-month,6551-GNYDG,Yes,No,No,No,Yes,Bank transfer (automatic),Yes,Yes,No,No
Yes,Yes,Train,Female,Fiber optic,0,84.15,1821.95,22,No,Month-to-month,9167-APMXZ,No,No,No,No,No,Bank transfer (automatic),Yes,No,Yes,No
No,No,Train,Male,No,0,20.15,419.90,22,No,One year,2749-CTKAJ,Yes,No internet service,No internet service,No internet service,Yes,Mailed check,Yes,No internet service,No internet service,No internet service
No,No,Train,Male,DSL,0,64.25,1024.00,16,No,Two year,6371-NZYEG,Yes,Yes,No,Yes,Yes,Mailed check,Yes,No,Yes,No
No,Yes,Train,Male,No,0,25.70,251.60,10,No,Two year,7554-NEWDD,No,No internet service,No internet service,No internet service,No,Bank transfer (automatic),Yes,No internet service,No internet service,No internet service
Yes,No,Train,Female,DSL,0,56.00,764.55,13,No,Month-to-month,8992-VONJD,Yes,No,Yes,Yes,No,Electronic check,Yes,No,No,No
No,Yes,Train,Female,Fiber optic,0,82.40,1592.35,20,Yes,Month-to-month,0867-MKZVY,No,No,No,Yes,Yes,Electronic check,Yes,No,No,No
Yes,No,Train,Female,Fiber optic,0,69.70,135.20,2,No,Month-to-month,4482-EWFMI,No,No,No,No,No,Electronic check,Yes,No,No,No
