Id,IsDeleted,AccountId,Name,Description,StageName,Amount,Probability,CloseDate,Type,NextStep,LeadSource,IsClosed,IsWon,ForecastCategory,ForecastCategoryName,CampaignId,HasOpportunityLineItem,Pricebook2Id,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,FiscalQuarter,FiscalYear,Fiscal,LastViewedDate,LastReferencedDate,HasOpenActivity,HasOverdueTask
0063F00000S5z1rQAB,,0013F00000oUyRBQA0,Hispanic Outsourcing Solutions 37,,Closed Won,15000,100,2021-05-29,New Business,,Reseller,1,1,Closed,Closed,,,,{amiller},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,2,2021,2021 2,,,1,
0063F00000S5z1wQAB,,0013F00000oUyRGQA0,SYNNEX Corporation 133,,Closed Lost,30000,0,2020-11-03,New Business,,Reseller,1,,Omitted,Omitted,,,,{aoconnor},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,4,2020,2020 4,,,,
0063F00000S5z1yQAB,,0013F00000oUyRIQA0,Exsell 165,,Closed Lost,30000,0,2021-12-15,Add-On Business,,Reseller,1,,Omitted,Omitted,,,,{aoconnor},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,4,2021,2021 4,,,,
0063F00000S5z20QAB,,0013F00000oUyRJQA0,HostCircle 209,,Closed Won,90302,100,2020-09-05,New Business,,Reseller,1,1,Closed,Closed,,,,{aoconnor},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,3,2020,2020 3,,,,
0063F00000S5z22QAB,,0013F00000oUyRLQA0,Semprio 230,,Closed Lost,51000,0,2020-10-30,New Business,,Fields Sales,1,,Omitted,Omitted,,,,{amiller},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,4,2020,2020 4,,,,
0063F00000S5z25QAB,,0013F00000oUyROQA0,B2B-ERP 9,,Closed Won,263525,100,2020-08-16,New Business,,Reseller,1,1,Closed,Closed,,,,{aoconnor},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,3,2020,2020 3,,,,
0063F00000S5z28QAB,,0013F00000oUyRRQA0,Hoffmann Optimization 73,,Negotiation,60000,0,2022-05-24,Existing Business,,Telesales,,,BestCase,Best Case,,,,{aoconnor},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,2,2022,2022 2,,,1,
0063F00000S5z2BQAR,,0013F00000oUyRTQA0,Third Wave Technologies 88,,Proposal/Quote,95000,0,2022-05-27,New Business,,Fields Sales,,,Forecast,Commit,,,,{aoconnor},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,2,2022,2022 2,,,,
0063F00000S5z2CQAR,,0013F00000oUyRUQA0,Koch Industries 121,,Closed Lost,150000,0,2022-01-11,New Business,,Fields Sales,1,,Omitted,Omitted,,,,{amiller},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,1,2022,2022 1,,,,
0063F00000S5z2GQAR,,0013F00000oUyRXQA0,Thrivent Financial for Lutherans 172,,Closed Won,921,100,2020-06-23,New Business,,Reseller,1,1,Closed,Closed,,,,{aoconnor},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,2,2020,2020 2,,,,
0063F00000S5z2HQAR,,0013F00000oUyRYQA0,Vicarious Visions 182,,Closed Won,124011,100,2020-08-19,Existing Business,,Reseller,1,1,Closed,Closed,,,,{aoconnor},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,3,2020,2020 3,,,,
0063F00000S5z2KQAR,,0013F00000oUyRbQAK,Rex Wyon Inc 211,,Closed Won,0,100,2021-08-14,Existing Business,,Telesales,1,1,Closed,Closed,,,,{aoconnor},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,3,2021,2021 3,,,,
0063F00000S5z2OQAR,,0013F00000oUyRdQAK,Samson Investment Company 38,,Closed Won,18000,100,2020-10-28,Add-On Business,,Reseller,1,1,Closed,Closed,,,,{amiller},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,4,2020,2020 4,,,,
0063F00000S5z2PQAR,,0013F00000oUyReQAK,AUTOSPORT  USA 64,,Closed Won,25000,100,2020-10-31,New Business,,Reseller,1,1,Closed,Closed,,,,{amiller},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,4,2020,2020 4,,,,
0063F00000S5z2SQAR,,0013F00000oUyRhQAK,Executive Greetings 157,,Closed Lost,60000,0,2021-03-01,Existing Business,,Fields Sales,1,,Omitted,Omitted,,,,{aoconnor},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,1,2021,2021 1,,,,
0063F00000S5z2TQAR,,0013F00000oUyRiQAK,Day  s Molding & Machinery 243,,Closed Won,65000,100,2021-03-13,New Business / Add-on,,Fields Sales,1,1,Closed,Closed,,,,{amiller},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,1,2021,2021 1,,,,
0063F00000S5z2WQAR,,0013F00000oUyRkQAK,Lightning Rod Software 5,,Closed Lost,15501,0,2020-07-21,New Business,,Reseller,1,,Omitted,Omitted,,,,{aoconnor},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,3,2020,2020 3,,,,
0063F00000S5z2XQAR,,0013F00000oUyRlQAK,"Sam Leman Chevy, Olds, Pontiac, Buick 34",,Closed Lost,100000,0,2020-08-17,New Business,,Reseller,1,,Omitted,Omitted,,,,{amiller},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,3,2020,2020 3,,,,
0063F00000S5z2ZQAR,,0013F00000oUyRnQAK,Cheyne Walther & Company 85,,Closed Won,5000,100,2020-08-29,New Business,,Reseller,1,1,Closed,Closed,,,,{amiller},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,3,2020,2020 3,,,,
0063F00000S5z2aQAB,,0013F00000oUyRoQAK,Unigen Corporation 95,,Negotiation,51000,0,2022-05-05,New Business,,Other,,,BestCase,Best Case,,,,{aoconnor},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,2,2022,2022 2,,,,
0063F00000S5z2bQAB,,0013F00000oUyRoQAK,Unigen Corporation 100,,Closed Lost,122699,0,2021-09-10,New Business,,Fields Sales,1,,Omitted,Omitted,,,,{amiller},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,3,2021,2021 3,,,,
0063F00000S5z2eQAB,,0013F00000oUyRqQAK,Farmers Group 120,,Closed Lost,23255,0,2020-10-27,New Business,,Fields Sales,1,,Omitted,Omitted,,,,{aoconnor},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,4,2020,2020 4,,,,
0063F00000S5z2fQAB,,0013F00000oUyRqQAK,Farmers Group 128,,Closed Won,243342,100,2021-01-20,New Business,,Reseller,1,1,Closed,Closed,,,,{aoconnor},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,1,2021,2021 1,,,,
0063F00000S5z2gQAB,,0013F00000oUyRrQAK,Cmore Results Inc 140,,Closed Lost,100000,0,2021-05-31,Existing Business,,Fields Sales,1,,Omitted,Omitted,,,,{aoconnor},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,2,2021,2021 2,,,,
0063F00000S5z2hQAB,,0013F00000oUyRrQAK,Cmore Results Inc 143,,Closed Lost,87209,0,2021-04-19,Existing Business,,Reseller,1,,Omitted,Omitted,,,,{aoconnor},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,2,2021,2021 2,,,,
0063F00000S5z2iQAB,,0013F00000oUyRsQAK,A Open Booking Agency 161,,Closed Lost,5000,0,2021-03-12,New Business,,Reseller,1,,Omitted,Omitted,,,,{amiller},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,1,2021,2021 1,,,1,
0063F00000S5z2kQAB,,0013F00000oUyRuQAK,Pueblo Foods Harvest Sharing 194,,Closed Won,10000,100,2020-06-12,New Business,,Reseller,1,1,Closed,Closed,,,,{amiller},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,2,2020,2020 2,,,,
0063F00000S5z2lQAB,,0013F00000oUyRvQAK,PointBase 211,,Closed Lost,110000,0,2021-08-18,New Business / Add-on,,Other,1,,Omitted,Omitted,,,,{aoconnor},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,3,2021,2021 3,,,,
0063F00000S5z2mQAB,,0013F00000oUyRwQAK,EDP Consulting Inc 221,,Closed Lost,10000,0,2020-10-22,New Business,,Reseller,1,,Omitted,Omitted,,,,{amiller},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,4,2020,2020 4,,,,
0063F00000S5z2oQAB,,0013F00000oUyRxQAK,Morgan Construction Company 235,,Closed Lost,25000,0,2020-08-31,New Business,,Reseller,1,,Omitted,Omitted,,,,{amiller},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,3,2020,2020 3,,,,
0063F00000S5z2qQAB,,0013F00000oUyRzQAK,SeminarSource.com 255,,Closed Lost,38753,0,2021-02-28,New Business,,Reseller,1,,Omitted,Omitted,,,,{aoconnor},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,1,2021,2021 1,,,,
0063F00000S5z2sQAB,,0013F00000oUyS1QAK,Aerospan.com 86,,Closed Lost,70000,0,2020-11-02,Existing Business,,Other,1,,Omitted,Omitted,,,,{aoconnor},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,4,2020,2020 4,,,,
0063F00000S5z2yQAB,,0013F00000oUyS5QAK,Advantage Mobilty Outfitters 197,,Closed Lost,180000,0,2021-02-20,Add-On Business,,Other,1,,Omitted,Omitted,,,,{aoconnor},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,1,2021,2021 1,,,,
0063F00000S5z32QAB,,0013F00000oUyS5QAK,Advantage Mobilty Outfitters 230,,Closed Lost,6000,0,2021-07-23,Existing Business,,Other,1,,Omitted,Omitted,,,,{aoconnor},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,3,2021,2021 3,,,1,
0063F00000S5z36QAB,,0013F00000oUyS6QAK,Espiria 32,,Closed Lost,26972,0,2021-05-11,New Business,,Reseller,1,,Omitted,Omitted,,,,{aoconnor},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,2,2021,2021 2,,,,
0063F00000S5z39QAB,,0013F00000oUyS9QAK,Newbold Consulting 63,,Qualification,6500,10,2022-05-31,New Business,,Reseller,,,BestCase,Best Case,,,,{amiller},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,2,2022,2022 2,,,,
0063F00000S5z3BQAR,,0013F00000oUySBQA0,Republic First National Corp. 78,,Closed Lost,40000,0,2020-12-05,New Business,,Reseller,1,,Omitted,Omitted,,,,{amiller},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,4,2020,2020 4,,,,
0063F00000S5z3CQAR,,0013F00000oUySCQA0,Computer Extension Professionals 105,,Closed Lost,100001,0,2020-11-19,New Business,,Fields Sales,1,,Omitted,Omitted,,,,{aoconnor},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,4,2020,2020 4,,,,
0063F00000S5z3DQAR,,0013F00000oUySDQA0,bottom line financial group 111,,Closed Lost,50000,0,2020-12-02,Existing Business,,Other,1,,Omitted,Omitted,,,,{aoconnor},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,4,2020,2020 4,,,,
0063F00000S5z3IQAR,,0013F00000oUySGQA0,Nooter Corporation 193,,Closed Lost,25000,0,2020-11-27,New Business / Add-on,,Reseller,1,,Omitted,Omitted,,,,{amiller},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,4,2020,2020 4,,,,
0063F00000S5z3LQAR,,0013F00000oUySIQA0,ATL Technology 237,,Closed Won,0,100,2020-11-22,New Business,,Telesales,1,1,Closed,Closed,,,,{aoconnor},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,4,2020,2020 4,,,,
0063F00000S5z3NQAR,,0013F00000oUySKQA0,Diamondtip 5,,Proposal/Quote,22900,0,2022-05-23,New Business / Add-on,,Reseller,,,Pipeline,Pipeline,,,,{amiller},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,2,2022,2022 2,,,,
0063F00000S5z3QQAR,,0013F00000oUySLQA0,mStoner 36,,Closed Lost,50000,0,2020-11-28,New Business,,Reseller,1,,Omitted,Omitted,,,,{amiller},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,4,2020,2020 4,,,,
0063F00000S5z3UQAR,,0013F00000oUySLQA0,mStoner 65,,Closed Lost,0,0,2022-01-15,New Business,,Fields Sales,1,,Omitted,Omitted,,,,{aoconnor},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,1,2022,2022 1,,,,
0063F00000S5z3VQAR,,0013F00000oUySMQA0,State Street Corp 133,,Closed Won,15337,100,2021-07-03,Existing Business,,Fields Sales,1,1,Closed,Closed,,,,{amiller},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,3,2021,2021 3,,,,
0063F00000S5z3XQAR,,0013F00000oUySMQA0,State Street Corp 144,,Closed Won,0,100,2020-11-29,New Business,,Telesales,1,1,Closed,Closed,,,,{aoconnor},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,4,2020,2020 4,,,,
0063F00000S5z3YQAR,,0013F00000oUySNQA0,New Moon Systems 149,,Proposal/Quote,11627,0,2022-06-04,New Business,,Reseller,,,BestCase,Best Case,,,,{aoconnor},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,2,2022,2022 2,,,,
0063F00000S5z3cQAB,,0013F00000oUySRQA0,Phifer Wire Products 198,,Closed Lost,20000,0,2020-11-09,New Business,,Reseller,1,,Omitted,Omitted,,,,{aoconnor},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,4,2020,2020 4,,,,
0063F00000S5z3dQAB,,0013F00000oUySSQA0,Georgia U S Data Services Inc 242,,Closed Lost,136500,0,2021-12-24,Existing Business,,Fields Sales,1,,Omitted,Omitted,,,,{amiller},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,4,2021,2021 4,,,1,
0063F00000S5z3eQAB,,0013F00000oUySTQA0,"Blue Steel Networks, 0",,Closed Lost,25000,0,2020-11-18,New Business / Add-on,,Reseller,1,,Omitted,Omitted,,,,{aoconnor},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,4,2020,2020 4,,,,
0063F00000S5z3fQAB,,0013F00000oUySUQA0,IntelliCorp 23,,Closed Lost,0,0,2022-01-28,Existing Business,,Reseller,1,,Omitted,Omitted,,,,{aoconnor},2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:49.000+0000,0053F00000D31WiQAJ,2022-04-05T12:39:50.000+0000,,1,2022,2022 1,,,,
