Id,IsDeleted,CaseNumber,ContactId,AccountId,AssetId,ProductId,EntitlementId,SourceId,BusinessHoursId,ParentId,SuppliedName,SuppliedEmail,SuppliedPhone,SuppliedCompany,Type,Status,Reason,Origin,IsVisibleInSelfService,Subject,Priority,Description,IsClosed,ClosedDate,IsEscalated,HasCommentsUnreadByOwner,HasSelfServiceComments,OwnerId,IsClosedOnCreate,IsSelfServiceClosed,SlaStartDate,SlaExitDate,IsStopped,StopStartDate,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,ContactPhone,ContactMobile,ContactEmail,ContactFax,LastViewedDate,LastReferencedDate,MilestoneStatus
5003F0000091LcZQAU,,00001404,,0013F00000oUyy1QAC,,,,,01m3F000000IpppQAC,,,,,,Account Support,Closed,,,1,I have a question about my contract.,Medium,,1,2022-04-05T12:49:24.000+0000,,,,0053F00000D31WiQAJ,1,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LcaQAE,,00001405,,0013F00000oUyyLQAS,,,,,01m3F000000IpppQAC,,,,,,General,Closed,,,1,Initiating return process.,Medium,,1,2022-04-05T12:49:24.000+0000,,,,0053F00000D31WiQAJ,1,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LcbQAE,,00001406,,0013F00000oUyVNQA0,,,,,01m3F000000IpppQAC,,,,,,General,Closed,,,1,I have a product suggestion.,Medium,,1,2022-04-05T12:49:24.000+0000,,,,0053F00000D31WiQAJ,1,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LccQAE,,00001407,,0013F00000oUzCjQAK,,,,,01m3F000000IpppQAC,,,,,,Account Support,Closed,,,1,Expediting my order?,Medium,,1,2022-04-05T12:49:24.000+0000,,,,0053F00000D31WiQAJ,1,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LcdQAE,,00001408,,0013F00000oUykvQAC,,,,,01m3F000000IpppQAC,,,,,,Product Support,Closed,,,1,Customer lost product manual and needs replacement,Medium,,1,2022-04-05T12:49:24.000+0000,,,,0053F00000D31WiQAJ,1,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LceQAE,,00001409,,0013F00000oUyvmQAC,,,,,01m3F000000IpppQAC,,,,,,Technical Issue,New,,,1,Can't get into my account,Medium,,,,,,,0053F00000D31WiQAJ,,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LcfQAE,,00001410,,0013F00000oUz11QAC,,,,,01m3F000000IpppQAC,,,,,,Product Support,Closed,,,1,Product setup issues,Medium,,1,2022-04-05T12:49:24.000+0000,,,,0053F00000D31WiQAJ,1,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LcgQAE,,00001411,,0013F00000oUyeRQAS,,,,,01m3F000000IpppQAC,,,,,,Product Support,Working,,,1,Can I use your app on my phone?,Medium,,,,,,,0053F00000D31WiQAJ,,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LchQAE,,00001412,,0013F00000oUyxlQAC,,,,,01m3F000000IpppQAC,,,,,,Technical Issue,New,,,1,securing data,Medium,,,,,,,0053F00000D31WiQAJ,,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LciQAE,,00001413,,0013F00000oUyytQAC,,,,,01m3F000000IpppQAC,,,,,,Account Support,Closed,,,1,How do I set up auto-renewal?,Medium,,1,2022-04-05T12:49:24.000+0000,,,,0053F00000D31WiQAJ,1,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LZVQA2,,00001214,,0013F00000oUyr4QAC,,,,,01m3F000000IpppQAC,,,,,,Product Support,Closed,,,1,Customer lost product manual and needs replacement,Medium,,1,2022-04-05T12:49:24.000+0000,,,,0053F00000D31WiQAJ,1,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LZWQA2,,00001215,,0013F00000oUzAcQAK,,,,,01m3F000000IpppQAC,,,,,,Technical Issue,New,,,1,Can't get into my account,Medium,,,,,,,0053F00000D31WiQAJ,,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LZXQA2,,00001216,,0013F00000oUyYRQA0,,,,,01m3F000000IpppQAC,,,,,,Product Support,Closed,,,1,Product setup issues,Medium,,1,2022-04-05T12:49:24.000+0000,,,,0053F00000D31WiQAJ,1,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LZYQA2,,00001217,,0013F00000oUzMOQA0,,,,,01m3F000000IpppQAC,,,,,,Product Support,Working,,,1,Can I use your app on my phone?,Medium,,,,,,,0053F00000D31WiQAJ,,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LZZQA2,,00001218,,0013F00000oUyfsQAC,,,,,01m3F000000IpppQAC,,,,,,Technical Issue,New,,,1,securing data,Medium,,,,,,,0053F00000D31WiQAJ,,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LZaQAM,,00001219,,0013F00000oUyhUQAS,,,,,01m3F000000IpppQAC,,,,,,Account Support,Closed,,,1,How do I set up auto-renewal?,Medium,,1,2022-04-05T12:49:24.000+0000,,,,0053F00000D31WiQAJ,1,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LZbQAM,,00001220,,0013F00000oUzDPQA0,,,,,01m3F000000IpppQAC,,,,,,Product Support,Escalated,,,1,Can you help me get set up?,Medium,,,,,,,0053F00000D31WiQAJ,,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LZcQAM,,00001221,,0013F00000oUz8WQAS,,,,,01m3F000000IpppQAC,,,,,,,New,,,1,Power Adaptor not charging,Medium,,,,,,,0053F00000D31WiQAJ,,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LZdQAM,,00001222,,0013F00000oUycQQAS,,,,,01m3F000000IpppQAC,,,,,,General,Waiting on Customer,,,1,Do you have a loyalty program?,Medium,,,,,,,0053F00000D31WiQAJ,,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LZeQAM,,00001223,,0013F00000oUyn3QAC,,,,,01m3F000000IpppQAC,,,,,,Account Support,New,,,1,Question about my invoice,Medium,,,,,,,0053F00000D31WiQAJ,,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LZfQAM,,00001224,,0013F00000oUyzjQAC,,,,,01m3F000000IpppQAC,,,,,,Account Support,New,,,1,Billing statement incorrect,Medium,,,,,,,0053F00000D31WiQAJ,,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LZgQAM,,00001225,,0013F00000oUybqQAC,,,,,01m3F000000IpppQAC,,,,,,Account Support,Working,,,1,I have a question about my order.,Medium,,,,,,,0053F00000D31WiQAJ,,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LZhQAM,,00001226,,0013F00000oUyaOQAS,,,,,01m3F000000IpppQAC,,,,,,Account Support,Waiting on Customer,,,1,Where can I purchase your products?,Medium,,,,,,,0053F00000D31WiQAJ,,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LZiQAM,,00001227,,0013F00000oUzAoQAK,,,,,01m3F000000IpppQAC,,,,,,General,Waiting on Customer,,,1,What's included in your service contract?,Medium,,,,,,,0053F00000D31WiQAJ,,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LZjQAM,,00001228,,0013F00000oUz3oQAC,,,,,01m3F000000IpppQAC,,,,,,General,Working,,,1,Product is shutting down intermittently,Medium,,,,,,,0053F00000D31WiQAJ,,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LZkQAM,,00001229,,0013F00000oUzCjQAK,,,,,01m3F000000IpppQAC,,,,,,Account Support,Working,,,1,Billing statement reprint,Medium,,,,,,,0053F00000D31WiQAJ,,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LZlQAM,,00001230,,0013F00000oUz4AQAS,,,,,01m3F000000IpppQAC,,,,,,Product Support,Waiting on Customer,,,1,What’s the product warranty policy?,Medium,,,,,,,0053F00000D31WiQAJ,,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LZmQAM,,00001231,,0013F00000oUzKKQA0,,,,,01m3F000000IpppQAC,,,,,,,New,,,1,TWEET FROM: MarkKingston,Medium,,,,,,,0053F00000D31WiQAJ,,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LZnQAM,,00001232,,0013F00000oUyWfQAK,,,,,01m3F000000IpppQAC,,,,,,Account Support,Closed,,,1,Can you expedite my order?,Medium,,1,2022-04-05T12:49:24.000+0000,,,,0053F00000D31WiQAJ,1,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LZoQAM,,00001233,,0013F00000oUzGCQA0,,,,,01m3F000000IpppQAC,,,,,,Technical Issue,Closed,,,1,Turbine is spinning but no energy is being produced,Medium,,1,2022-04-05T12:49:24.000+0000,,,,0053F00000D31WiQAJ,1,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LZpQAM,,00001234,,0013F00000oUyUgQAK,,,,,01m3F000000IpppQAC,,,,,,General,Closed,,,1,Facebook Message from: Lauren Boyle,Medium,,1,2022-04-05T12:49:24.000+0000,,,,0053F00000D31WiQAJ,1,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LZqQAM,,00001235,,0013F00000oUyy5QAC,,,,,01m3F000000IpppQAC,,,,,,Product Support,Working,,,1,How do I diagnose this product issue?,Medium,,,,,,,0053F00000D31WiQAJ,,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LZrQAM,,00001236,,0013F00000oUzKdQAK,,,,,01m3F000000IpppQAC,,,,,,Account Support,Waiting on Customer,,,1,How do I set up auto-payment?,Medium,,,,,,,0053F00000D31WiQAJ,,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LZsQAM,,00001237,,0013F00000oUyZ5QAK,,,,,01m3F000000IpppQAC,,,,,,Technical Issue,Escalated,,,1,Can't understand instructions,Medium,,,,,,,0053F00000D31WiQAJ,,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LZtQAM,,00001238,,0013F00000oUybaQAC,,,,,01m3F000000IpppQAC,,,,,,General,New,,,1,How do I use your mobile app?,Medium,,,,,,,0053F00000D31WiQAJ,,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LZuQAM,,00001239,,0013F00000oUySBQA0,,,,,01m3F000000IpppQAC,,,,,,Account Support,New,,,1,I'd like to pay my invoice,Medium,,,,,,,0053F00000D31WiQAJ,,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LZvQAM,,00001240,,0013F00000oUytuQAC,,,,,01m3F000000IpppQAC,,,,,,Product Support,Waiting on Customer,,,1,Turbine not reaching operating speed,Medium,,,,,,,0053F00000D31WiQAJ,,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LZwQAM,,00001241,,0013F00000oUyqYQAS,,,,,01m3F000000IpppQAC,,,,,,Product Support,New,,,1,Twitter Message: Help!  I'm having setup trouble.,Medium,,,,,,,0053F00000D31WiQAJ,,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LZxQAM,,00001242,,0013F00000oUz7rQAC,,,,,01m3F000000IpppQAC,,,,,,Account Support,Closed,,,1,Bill payment clarification.,Medium,,1,2022-04-05T12:49:24.000+0000,,,,0053F00000D31WiQAJ,1,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LZyQAM,,00001243,,0013F00000oUz9UQAS,,,,,01m3F000000IpppQAC,,,,,,General,Closed,,,1,Customer service hours of operation.,Medium,,1,2022-04-05T12:49:24.000+0000,,,,0053F00000D31WiQAJ,1,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091LZzQAM,,00001244,,0013F00000oUym8QAC,,,,,01m3F000000IpppQAC,,,,,,Account Support,New,,,1,Please send shipping confirmation.,Medium,,,,,,,0053F00000D31WiQAJ,,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091La0QAE,,00001245,,0013F00000oUymLQAS,,,,,01m3F000000IpppQAC,,,,,,Account Support,Closed,,,1,I received the wrong invoice.,Medium,,1,2022-04-05T12:49:24.000+0000,,,,0053F00000D31WiQAJ,1,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091La1QAE,,00001246,,0013F00000oUytIQAS,,,,,01m3F000000IpppQAC,,,,,,General,Closed,,,1,How do I sign up for your email newsletter?,Medium,,1,2022-04-05T12:49:24.000+0000,,,,0053F00000D31WiQAJ,1,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091La2QAE,,00001247,,0013F00000oUz0RQAS,,,,,01m3F000000IpppQAC,,,,,,Product Support,Closed,,,1,How do I troubleshoot a product issue?,Medium,,1,2022-04-05T12:49:24.000+0000,,,,0053F00000D31WiQAJ,1,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091La3QAE,,00001248,,0013F00000oUz6NQAS,,,,,01m3F000000IpppQAC,,,,,,Product Support,Working,,,1,Where do I get your mobile app?,Medium,,,,,,,0053F00000D31WiQAJ,,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091La4QAE,,00001249,,0013F00000oUzGfQAK,,,,,01m3F000000IpppQAC,,,,,,Technical Issue,Researching,,,1,Installation instructions tough to understand,Medium,,,,,,,0053F00000D31WiQAJ,,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091La5QAE,,00001250,,0013F00000oUzIqQAK,,,,,01m3F000000IpppQAC,,,,,,Account Support,Closed,,,1,Purchase order question,Medium,,1,2022-04-05T12:49:24.000+0000,,,,0053F00000D31WiQAJ,1,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091La6QAE,,00001251,,0013F00000oUyfpQAC,,,,,01m3F000000IpppQAC,,,,,,Account Support,Closed,,,1,How do I upgrade my service?,Medium,,1,2022-04-05T12:49:24.000+0000,,,,0053F00000D31WiQAJ,1,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091La7QAE,,00001252,,0013F00000oUyo1QAC,,,,,01m3F000000IpppQAC,,,,,,Account Support,Closed,,,1,Please change my contact information.,Medium,,1,2022-04-05T12:49:24.000+0000,,,,0053F00000D31WiQAJ,1,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
5003F0000091La8QAE,,00001253,,0013F00000oUyp7QAC,,,,,01m3F000000IpppQAC,,,,,,Product Support,Closed,,,1,Where can I download your mobile app?,Medium,,1,2022-04-05T12:49:24.000+0000,,,,0053F00000D31WiQAJ,1,,2022-02-04T17:12:20.000+0000,,,,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,0053F00000D31WiQAJ,2022-04-05T12:49:24.000+0000,,,,,,,
